pacer	ペースメーカー
harken	(=hearken)耳を傾ける|(=listen)
heft	持ち上げる
bitty	ちょっとだけ
miraculously	奇跡的に
monotonic	単調な
freemasonry	(同じ経験に基づく)相互理解|以心伝心|《F-》フリーメーソン主義
amortisation	償還|償却|償還|償却
teethe	(幼児の)歯が生える
impatience	耐えられないこと|我慢できないこと|いらいらすること
fatwa	イスラム教における布告･見解
mechanistic	機構的な
flawlessly	見事に
lidar	光線レーダー|laser-infrared radar
whatnot	得たいの知れぬもの|何やかや|小物(飾り)棚
tripartite	3部から成る|3者が参加(加盟)した
ruminant	反芻する|考え込む|反芻動物
crass	鈍感な|がさつな|愚かな|厚い|愚鈍な|下品な|ひどい|全くの|甚だしい
cartographic	of or relating to the making of maps or charts
biotic	生命の;生物の
benevolence	慈善|慈悲心|博愛|善行|善意|(=charity)
scoot	急いで行く|走り去る|スクーターで進む
purebred	純血(種)の
suspiciously	けげんそうに|怪しそうに|深い疑く
nighthawk	ヨタカ|夜ふかしする人
dirge	挽歌|葬送歌|哀歌|悲歌
cowl	ずきん
taro	タロイモ(南洋諸島のサトイモの一種)
misread	読み違える
viscose	ビスコース(人造絹糸・セロファンなどの原料)
manhunt	犯人追跡
broach	口を切る|切出す|口をあける|焼き串|穴あけ錐(キリ)　(ブローチはbrooch)
fez	トルコ帽
occupier	居住者
lunchbox	弁当箱
euchre	(トランプゲームの一つ)ユーカー|(ユーカーで相手を)負かす|(人を)出し抜く|だます
tambourine	タンバリン
paisa	a fractional monetary unit in Bangladesh and India and Nepal and Pakistan
construe	説明する|解釈する|文法的に解釈する|直訳
pooch	ふくらます|ふくれる|犬|雑種犬
hemorrhagic	出血
nimble	機知にに富む|融通のきく|すばやい|抜け目ない|敏捷な
neutralization	中和
kph	キロメートル毎時
brazen	真鍮の|堅い|耳ざわりな|ずうずうしい
prion	プリオン|タンパク質から成る感染性因子|ウシのウシ海綿状脳症(BSE|狂牛病)や|ヒトのヤコブ病(CJD)等|種々の哺乳類に見られる多くの疾患に関与
pennywise	一文惜しみの
lbj	ヨーンゾン
veracity	真実を語ること|真実|真相
proteasome	プロテアソームはタンパク質の分解を行う巨大な酵素複合体|細胞周期制御|免疫応答といった細胞中の様々な働きに関わる
butane	ブタン(メタン系炭化水素の一つ)
unwittingly	知らずに|無意識に
doze	まどろむ|まどろみ|仮眠
yeoman	自作農|侍従|下士官
pentagram	=pentacle
bioavailability	生物学的利用能
loony	頭がおかしい
foreplay	(性行為における)前戯
mutate	変化する|突然変異する|母音変化する
whimsy	気まぐれ|物好き|奇抜な言葉･行動
voluptuous	官能的な|なまめかしい|肉欲にふける
complacent	自己満足の|満足そうな|悦に入って|ひとりよがりの
hardworking	勤勉な|よくはたらく
antagonism	敵意|反対
unaccompanied	連れのない|ただひとりの;(〜に)伴われない《+by(with)+名》|(音楽演奏が)無伴奏の
uhh	うう
kingwood	handsome violet-streaked wood of the kingwood tree; used especially in cabinetwork|handsome violet-streaked wood of the kingwood tree|used especially in cabinetwork|Brazilian tree yielding a handsome cabinet wood
maximization	最大化
absenteeism	長期欠勤|無断欠勤|常習的欠席
quantifiable	定量化できる
leptin	レプチン|脂肪細胞によって作られ|飽食シグナルを伝達し|エネルギー消費増大をもたらし|肥満の抑制や体重増加の制御の役割を果たすホルモン
penalize	罰する
isometric	等大の|等距離の
retraction	引っ込ませること|取り消し|撤回
loveless	愛のない;愛させない;かわいげのない
okeechobee	オキーチョビー湖
demarcation	境界|分界|区分|管轄|縄張り|限界
hydrocortisone	ヒドロコルチゾン|コルチゾール
cerebrospinal	脳脊髄の|中枢神経系の
impure	澄んでいない|混ざり物のある|不純な
gridiron	=grill{名}1|《米》フットボール競技場
innermost	最も奥の|深く心に秘めた|心底の(=inmost)
rumba	(スペイン語)ルンバ|キューバの民族舞踊音楽
wry	ゆがんだ|皮肉たっぷりな|こじつけた|曲がった
pilate	ポンテオピラト|ピラト
confocal	共焦点
alms	施し物|信施|施し|慈善
meditative	瞑想的な
pica	異食症|栄養価の無いもの(土・紙・毛・氷・チョークなど)を無性に食べたくなる症候|小児と妊婦に多い|(picaはラテン語でカササギ)
pinscher	any of three breeds of dogs whose ears and tail are usually cropped
quell	鎮圧する|抑えつける|止める|鎮める|抑える
sportfishing	魚釣り|沖釣り|フィッシング|釣|釣魚|魚つり|釣り
equivalently	同等に
incase	=encase
stringed	弦のある;《複合語を作って》;弦の
gaucho	ガウチョ(南米|特にアルゼンチンの草原地方のカウボーイ;インディアンとスペイン人の混血人が多い)
unblock	放つ|放す
evasive	回避する|言い逃れの|回避的な
factorial	要因の|階乗の
ferment	混乱|酵素|発酵する･させる|沸き立たせる|刺激する
guesswork	当てずっぽう|当て推量
replete	十分に備えた|充満した
inconceivable	想像もつかない
kanawha	カノワ川
