kennel,犬小屋
admin,管理者
polo,ポロ（スポーツ）
deplorable,嘆かわしい
revulsion,嫌悪
tolerably,まずまず
dearth,不足
holler,叫ぶ
dishonesty,不正直
crossbow,クロスボウ
fitting,適切な
coinage,造語
shimmer,きらめく
plausibly,もっともらしく
unattractive,魅力のない
biometric,生体認証の
phosphatase,ホスファターゼ（酵素の一種）
resourceful,機知に富んだ
advert,広告
expertly,巧みに
unstoppable,止められない
squirt,吹き出す
reorganize,再編成する
resplendent,きらびやかな
turnaround,好転
exuberant,生き生きとした
thoughtless,軽率な
babble,意味のないおしゃべり
indecent,下品な
nought,ゼロ
microfilm,マイクロフィルム
undifferentiated,未分化の
regroup,再編成する
fearsome,恐ろしい
patchwork,継ぎ接ぎ
tri,三重の［triple/triangleの略語］
cryptography,暗号学
shellfish,貝類
wishful,願望的な
overdo,やりすぎる
watermelon,スイカ
parenchyma,実質組織
lipase,リパーゼ（酵素の一種）
infinitive,不定詞
erroneously,誤って
oscillate,振動する
laziness,怠惰
uneducated,無学な
meekly,おとなしく
indigo,藍色
minstrel,吟遊詩人
admissibility,許容性
bidirectional,双方向の
infestation,害虫などの蔓延
caprice,気まぐれ
abrasive,研磨剤|不快な
impotence,無力
downcast,落胆した
bromide,ブロマイド
headset,ヘッドセット
paddock,囲い地
resonator,共振器
casserole,キャセロール（鍋料理）
reunite,再会する
handheld,携帯型の
yen,円|熱望
stupidly,愚かにも
prophylactic,予防的な
notepad,メモ帳
cordially,心から
pompous,尊大な
heartbreak,失恋|悲嘆
reproducible,再現可能な
supremely,最高に
subjugation,征服
carbonyl,カルボニル
abrasion,擦り傷
implore,懇願する
mercilessly,容赦なく
thunderous,雷のような|轟く
modus,やり方（ラテン語由来））
ire,怒り
imperious,横柄な
intercession,仲裁
panoramic,全景の
delusional,妄想的な
postnatal,出生後の
follicle,毛包
oftentimes,しばしば
cheaply,安く
insolence,無礼
heartbroken,悲嘆に暮れた
exploitative,搾取的な
dynamite,ダイナマイト
hologram,ホログラム
biologist,生物学者
discordant,不調和な
