mockery	あざ笑い|あざけり|偽|にせもの|無駄な努力|ばかにすること|冷やかし
northerly	北風|北寄りの|北へ
regroup	まとめ直す
cancerous	がん(性)の
dialectic	弁証法的な
secretory	分泌腺
nerdy	まぬけな|ばかな|頭は良いが流行に無頓着な|ダサい
hurrah	万歳
modestly	控え目に|謙遜して|上品に
trypsin	トリプシン|膵(すい)液に含まれる消化酵素の一種
dependability	頼りになること|信頼性
bugaboo	お化け|恐ろしい化け物|怖いもの|心配の種|鼻くそ|鼻汁
aeration	エアレーション|ばっ気|空気混入|風化
recede	退く|手を引く|低下する
watersport	ウォータースポーツ
prophylactic	予防薬|(病気を)予防する|性病予防の|予防法
shackle	手かせ足かせ
triphosphate	三リン酸塩|Adenosine Triphosphate|ATP|生体内で燐酸 1分子が離れたり結合し|エネルギーの放出|貯蔵|物質の代謝|合成の役を果たすヌクレオチド
secretive	隠しだてする|隠した|秘密主義の
grievous	人を悲しませる|残念な|嘆かわしい|悲しむべき|苦しめる|つらい|悲痛な|悲しげな
generative	発生の|生殖の;生成力(繁殖力)のある
hippocampal	(脳の)海馬の
engender	を生じさせる|発生させる|生ずる|産む|引き起こす|生じる
pensioner	年金受給者
forcefully	力強く
preposition	前置詞
contemplative	黙想にふける
comedic	喜劇の
apical	頂点の
synoptic	概要の|粗筋の|《しばしばS-》共観の|共観福音書の
phantasy	= fantasy　空想　幻想　気まぐれ
ghoul	イスラム諸国の伝説で墓に埋められた死人の肉を食うという悪霊|(一般に)墓場荒らし|残虐な行為(ぞっとするようなこと)を楽しむ人
beryllium	ベリリウム(金属元素;化学記号は『Be』)
principality	王国|王政
scrutinize	注意深く調べる|綿密に検査する
watchtower	監視塔|観点|見張り塔|灯台|望楼
falconer	タカ匠
stoppage	停止|中止すること|閉塞
biggie	大きなもの|大事なもの|重要人物|大物
hark	(主に命令法で|文語)聞く(at)|Hark at him!
featurette	短編映画
gotcha	分かった!
blotter	吸い取り紙
supernatant	表面に浮ぶ|〔化学〕浮遊物
tarantula	タランチュラ(毒グモ)
cardiomyopathy	心筋症
stardom	スターの身分
chloroform	クロロホルム|溶媒や溶剤として利用される|当初外科手術の麻酔剤として利用された|毒性があり|麻酔剤としての主力はジエチルエーテルへ移行
lamination	〈U〉層板にする(なる)こと;〈C〉薄板
woodbine	スイカズラ(よじ上り性の低木)|《米》=Virginia creeper
armadillo	アルマジロ
envious	うらやましそうな
colic	(the colic)(医学)|疝痛(せんつう)|さしこみ
leotard	レオタード
castaway	見捨てられた(人)|漂流者|難破した(人)|無頼漢
hirsute	毛深い|hairy|毛むくじゃらの|毛の
loveseat	二人掛けのいす
vertebral	脊椎の
ectopic	異所性の|(生命科学|本来発現する場所以外で遺伝子が発現しタンパク質が生成すること|同所性の対語)
shilling	シリング(1971年まで続いた英国の旧通貨単位)|ケニア・ウガンダ・ソマリア・タンザニアの通貨単位
peseta	ペセタ(スペインの通貨単位)
flowery	花の多い
scandalous	あきれった|恥ずべき|中傷的な
reestablish	回復する|再建する|復旧する|復興する|復職する
autoclave	圧力がま(特に医療器具消毒用)
elector	選挙人|有権者
girder	(橋･床などを支える)桁|大ばり|嘲弄者
wraith	(人の死の前後に現れる当人の)霊
solvency	支払能力
bituminous	瀝青(れきせい)質の
askew	斜めに|一方に傾いて|ゆがんで
derail	脱線させる
apostrophe	アポストロフィ(省略符号などと訳す)
parasol	日がさ|日傘|パラソル
uncontrollable	制御できない|手にあまる
geyser	間欠泉
unjustified	不当な
relentlessly	執拗に
paperboard	(紙パルプで作った)ボール紙|合わせ板紙
bracken	わらび
decadence	デカダンス|退廃
girlie	女の子らしい|性的な|(girlish|girlyより性的|蔑称的)
hideout	隠れ家
arduous	骨の折れる|困難な|根気強い
bloomer	ブルーマー|19世紀後半に流行した短いスカートの下にはく袋のように足首のところですぼめた女性用のズボン
commandant	司令官
impersonate	のふりをする|のまねをする|まねる|体現された
