paralegal,法律補助者
mammogram,マンモグラム（乳房X線）
recuperation,回復
confidante,信頼できる人（女性）
sphinx,スフィンクス
retriever,レトリーバー犬種
langue,言語（言語学用語）
dweller,居住者
tardy,遅刻した
prismatic,プリズムの
legalistic,法令主義の
caterer,ケータラー（仕出し業者）
glioblastoma,膠芽腫
crowbar,バール
readjustment,再調整
gradation,段階的変化
quicksand,流砂
augur,予言者
distrustful,不信の
whet,研ぐ
crimp,縮れる
dwindle,減少する
hp,馬力（horsepower）
unheeded,無視された
volitional,意志のある
rainstorm,豪雨
exportation,輸出
sooth,真実
coaxial,同軸の
playlist,再生リスト
languish,弱る
riverbed,川床
midlife,中年期
filtrate,ろ過液
sleuth,探偵
pucker,すぼめる
timeout,タイムアウト
moonshine,密造酒
vocalist,歌手
buckskin,バックスキン（鹿革）
peaceably,平和的に
lisp,舌足らずな発音
cynically,皮肉に
putty,パテ
fief,封土
sissy,おくてな人
arguable,議論できる
decrement,減少
cyclist,自転車乗り
swindler,詐欺師
blip,一時的な異常
phallus,陰茎
vanadium,バナジウム（元素）
frothy,泡立った
halberd,鉾（ほこ）
legit,合法的な
drove,群れ
shah,シャー（王）
curation,収集|管理
hydrology,水文学
futurity,将来性
centrist,中道主義者
crusader,十字軍戦士
unavailability,利用不可
hoo,フー（驚きや呼びかけ）
lynx,オオヤマネコ
buckwheat,そば
villainy,悪行
salvo,一斉射撃
crepe,クレープ（薄い布・食べ物）
evangelize,布教する
functionalism,機能主義
nugget,塊
fineness,純度
unblinking,まばたきしない
brazier,火鉢
intersubjectivity,相互主観性
ileum,回腸
pronominal,代名詞の
restatement,再述
smuggler,密輸業者
mainframe,メインフレーム
contestant,競技者
disingenuous,不誠実な
nan,ナン（インドのパン）
ambit,範囲
outstrip,凌駕する
contravention,違反
ell,エル（長さの単位）
satyr,サテュロス（半人半獣の神話生物）
weightless,無重力の
tomahawk,戦斧
pedantic,細部にこだわる
aloe,アロエ
testamentary,遺言の
trimming,切り取り
remix,リミックス
porcupine,ヤマアラシ
callosum,脳梁
adduce,証拠として挙げる
synoptic,総合的な
collegial,共同の
trabecular,小梁の
desultory,散漫な
southernmost,最南端の
midshipman,水兵見習い
avowal,公言
ruminate,反芻する
condescend,恩着せがましく振る舞う
phenylalanine,フェニルアラニン
dolly,台車
emplacement,設置場所
premolar,前臼歯
wok,中華鍋
scram,立ち去る
recorder,リコーダー
discomfiture,困惑
unabashed,図々しい
pricey,高価な
incompletely,不完全に
sourdough,サワードウ（発酵種）
boastful,自慢する
bishopric,司教区
undemocratic,非民主的な
capsular,被膜の
cybernetics,制御論
faggot,薪束（英）
roundly,激しく
heft,重さ
infanticide,幼児殺害
dissolute,放蕩な
morass,ぬかるみ
highwayman,街道強盗
lavage,洗浄
maelstrom,渦巻き
vicariously,代理で
cartilaginous,軟骨の
lint,糸くず
crag,岩場
uninhibited,抑制されていない
safekeeping,保管
drawbridge,跳ね橋
industrially,工業的に
flabbergast,仰天させる
retrenchment,削減
plebiscite,国民投票
cower,縮み上がる
shirtless,上半身裸の
amphitheater,円形劇場
inextricable,解きほぐせない
collate,照合する
wigwam,インディアンの小屋
recruiter,採用担当者
brawny,筋骨たくましい
verso,裏面
yummy,おいしい
quagmire,ぬかるみ
aglow,赤く輝く
landlocked,内陸の
foolhardy,無謀な
confederacy,連合
ribcage,肋骨
bursa,滑液包
taxon,分類群
amigo,友達
extol,称賛する
antimony,アンチモン（元素）
perdition,地獄
suave,洗練された
reversibility,可逆性
coupler,連結器
autoclave,高圧滅菌器
adulterous,不倫の
rancid,悪臭のある
copyist,写し手
compressibility,圧縮性
unreported,未報告の
thymic,胸腺の
instrumentalist,楽器奏者
llama,ラマ（動物）
tetrahedron,四面体
readjust,再調整する
nutty,ナッツの味がする|変わった
fob,懐中時計の鎖
frontispiece,書籍の扉絵
unadorned,飾り気のない
virginal,処女の|純潔な
comport,振る舞う
larder,食品庫
nonstandard,標準外の
friendless,友達のいない
rekindle,再び燃え上がらせる
selfishly,利己的に
humanitarianism,人道主義
innervate,神経を供給する
fixity,固定性
tele,遠距離の
chancery,裁判所
obsessively,強迫的に
swelter,蒸し暑い
whitewash,白塗りする|ごまかす
transparently,明白に
detox,解毒する
preemption,先取り
airstrip,滑走路
karst,カルスト地形
torturous,苦痛を伴う
polka,ポルカ（舞曲）
indemnification,賠償
consonance,協和音
hibernation,冬眠
duster,ほこり払い
liveliness,活気
mettle,気概
handrail,手すり
gasket,ガスケット（密封材）
militate,影響を及ぼす
cognac,コニャック（ブランデー）
finalist,決勝進出者
omniscience,全知
convulsion,けいれん
enrapture,夢中にさせる
reification,具体化
wormhole,ワームホール
hetero,異性愛の
lop,切り落とす
blackguard,悪党
equitably,公平に
motherland,母国
piper,笛吹き
flak,激しい批判
reelect,再選する
catharsis,カタルシス（浄化作用）
personify,人格化する
littoral,沿岸の
elitism,エリート主義
horseradish,西洋わさび
idealize,理想化する
weft,経糸に対する横糸
peduncle,花梗（かこう）
blackberry,ブラックベリー（果実）
fiddler,バイオリン弾き
trudge,重い足取りで歩く
barrack,兵舎
presage,予兆
mushy,どろどろした
voodoo,ブードゥー教
soulful,感情豊かな
biotech,バイオテクノロジー
sputter,パチパチ音を立てる
pelican,ペリカン
bewail,嘆き悲しむ
encyclical,回勅（教皇の書簡）
ulna,尺骨（前腕の骨）
synthesizer,シンセサイザー
mutagenesis,変異原生
tamoxifen,タモキシフェン（薬剤）
tassel,房飾り
proteome,プロテオーム（全タンパク質集合）
armful,腕いっぱいの量
compressible,圧縮可能な
dower,持参金
nomad,遊牧民
glut,過剰供給
backstory,背景物語
principality,公国
brutish,野蛮な
xylene,キシレン（化学物質）
pajama,パジャマ
circumscribe,制限する
trigonometric,三角法の
jittery,神経質な
underpants,下着
spasmodic,けいれん性の
gentlewoman,貴婦人
defray,費用を支払う
immunoassay,免疫測定法
marshmallow,マシュマロ
rubbery,ゴムのような
wen,皮膚のこぶ
mycelium,菌糸体
publican,パブの店主
dextrose,ブドウ糖
parley,会談する
adulation,過度の称賛
cleft,裂け目
pitchfork,干し草用のフォーク
spate,多発
accusatory,非難の
telemetry,遠隔測定
cricketer,クリケット選手
dram,少量の飲み物
fatalism,運命論
lobule,小葉
floe,流氷
jackass,ばか者
jumpy,びくびくした
untested,未検証の
reproachful,非難がましい
mestizo,メスティーソ（混血）
stockholder,株主
dioxin,ダイオキシン
dour,厳格な
colophon,奥付
kilo,キロ（単位）
figurehead,名目上の指導者
cudgel,こん棒
indecisive,優柔不断な
sprightly,元気な
secessionist,分離主義者
seer,予言者
nadir,どん底
feeding,授乳|餌やり
preserver,保存する人（物）
emancipate,解放する
pretension,見せかけ|主張
entertainer,芸能人
mystique,神秘性
bedclothes,寝具
bloodstained,血で汚れた
mauve,藤色
satirist,風刺作家
proteomic,プロテオームの
biotin,ビオチン（ビタミン）
pubis,恥骨
underprivileged,恵まれない
rupee,ルピー（通貨）
behemoth,巨大なもの
swastika,卍（ナチスの象徴）
phosphorous,リン（化学元素）
pacification,鎮圧
hangman,絞首刑執行人
electrophysiological,電気生理学的な
veggie,野菜
multifarious,多様な
ary,〜に関する
beauteous,美しい（古風）
chevalier,騎士
infraction,違反
manufactory,製造所（古風）
paparazzi,パパラッチ
avow,公言する
accumulator,蓄積装置
parka,パーカー（防寒服）
flout,無視する
coo,クークー鳴く（鳩など）
subcategory,下位カテゴリ
adjunctive,補助的な
insubstantial,実体のない
unalterable,変えられない
inoculum,接種材料
parsimonious,けちな
fealty,忠誠
faeces,排便物
phonemic,音素の
gearbox,変速機
shrivel,しぼむ
simpleton,ばか者
egotistical,自己中心的な
infallibility,絶対確実性
sinew,腱
ingenuous,率直な
ungainly,不格好な
deport,国外追放する
dogmatism,独断主義
goatee,あごひげ
ovoid,卵形の
booking,予約
brimstone,硫黄
damask,ダマスク織
intertidal,潮間帯の
whistleblower,内部告発者
spurn,拒絶する
hermitage,隠遁所
hotline,直通電話
methylated,メチル化された
prospectively,将来にわたって
soldiery,兵士たち
excavate,発掘する
upriver,川上へ
magnolia,モクレン
immunohistochemistry,免疫組織化学
tailgate,ぴったり後ろを走る|後部ドア
quash,鎮圧する
twill,綾織り
galleon,大型帆船
spiritualism,心霊主義
oversize,特大の
unmitigated,和らげられていない
vamp,セクシーな女性|補強する
paralyze,麻痺させる
angioplasty,血管形成術
foreknowledge,予見
nucleoside,ヌクレオシド
mete,割り当てる
blitz,電撃戦|集中攻撃
commutation,減刑|通勤
silkworm,カイコ
downtrodden,虐げられた
polyp,ポリープ
manmade,人工の
paralytic,麻痺の
covariate,共変量
punctuality,時間厳守
earner,稼ぐ人
halve,半分にする
desecration,冒涜
fibromyalgia,線維筋痛症
disaffection,不満
cataclysm,大災害
nonexistence,存在しないこと
unthinking,無思慮な
defilement,汚染
phosphoric,リン酸の
pathogenicity,病原性
diatribe,痛烈な非難
gibberish,ちんぷんかんぷん
binocular,双眼鏡の
retroactively,遡って
lounger,のんびりする人
catabolism,異化作用
enshrine,神聖に保つ|祭る
defibrillator,除細動器
superego,超自我
monopolist,独占者
ejaculate,射精する|叫ぶ
indenture,年季奉公契約
quadrangle,四角形|中庭
washcloth,洗面タオル
tarpaulin,防水シート
gunwale,船の上縁
ennui,倦怠
labyrinthine,迷路のような
beady,小粒で光る
glum,沈んだ
inchoate,初期の
sapling,若木
awestruck,畏怖に打たれた
sagacious,賢明な
pushy,押しの強い
asperity,荒々しさ
redolent,思わせる|芳香のある
anarchic,無政府状態の
goer,行く人|熱心な参加者
northernmost,最北の
charioteer,戦車の御者
rubella,風疹
hale,元気な
bimodal,二峰性の
pyrite,黄鉄鉱
travesty,茶番
peony,ボタン（花）
anabolic,同化作用の
zircon,ジルコン（鉱物）
displease,不快にさせる
crisply,きびきびと
noonday,正午
knightly,騎士のような
conformist,体制順応主義者
languor,けだるさ
physiotherapy,理学療法
dally,ぐずぐずする|ふざける
disrepair,荒廃|修理が必要な状態
sterilize,消毒する|不妊にする
cooperatively,協力的に
lollipop,棒付きキャンディー
polluter,汚染者|汚染源
portentous,不吉な|前兆となる
belie,偽って示す|裏切る
turpentine,テレピン油
nativity,誕生|キリスト降誕
tarnish,曇らせる|汚す
renege,約束を破る|撤回する
homesickness,ホームシック
astringent,収れん性の|辛辣な
foreplay,前戯
ilk,同類|種類
frontage,前面|正面部分
appeasement,宥和政策|譲歩
endocytosis,エンドサイトーシス|細胞内取り込み
surrealism,シュルレアリスム|超現実主義
weevil,ゾウムシ
realtor,不動産業者
metonymy,換喩
adjectival,形容詞の
khan,支配者|族長（中央アジア・中東地域の称号）
dolor,悲しみ（詩語〉
lysosomal,リソソームの|分解小体の
ringleader,首謀者
doable,実行可能な
ignominious,不名誉な|恥ずべき
petiole,葉柄
presenter,司会者|発表者
uptown,住宅街|高級住宅地
addendum,追加事項|補遺
interjection,間投詞|突然の発言
foreskin,包皮
dimer,二量体
catchy,人目を引く|覚えやすい
instalment,分割払い［=installment］〈アメリカ英語〉
profligate,浪費する|放蕩な
imperishable,不滅の|腐らない
preeminence,卓越|傑出
disband,解散する
corkscrew,コルク抜き
baste,たたく|調理中に汁をかける
vanquish,打ち負かす
monism,一元論
righteously,正しく|公正に
amicably,友好的に
corp,企業［corporationの略語］
heroically,英雄的に
detainee,拘留者
unlearn,忘れるよう努める
incorruptible,買収できない|腐敗しない
miscalculation,誤算
rata,動物
unpalatable,不愉快な|まずい
obeisance,敬礼|服従
remarriage,再婚
lawman,法執行官|警官
brownie,ブラウニー（チョコ菓子）
unsuited,不適当な
disenchant,幻滅させる
bedspread,ベッドカバー
walrus,セイウチ
startlingly,驚くほど
continence,抑制|禁欲
doleful,悲しげな
chamomile,カモミール（ハーブ）
unsavory,不快な|評判の悪い
pleura,胸膜
conspirator,共謀者
writ,令状|文書命令
indole,インドール（有機化合物）
acetonitrile,アセトニトリル（溶媒）
lintel,まぐさ石（建築部材）
porthole,舷窓|丸窓
consumptive,消耗性の|結核の（古風）
lightbulb,電球
molestation,嫌がらせ|性的暴行
separateness,分離|独立性
gestalt,ゲシュタルト|全体形態
loyally,忠実に
imperil,危険にさらす
nightmarish,悪夢のような
scorch,焦がす
subgraph,部分グラフ（数学）
molt,脱皮する
snitch,密告者|密告する
raisin,干しぶどう
prefabricate,組み立て式に作る
lac,ラック（天然樹脂）
interment,埋葬
senatorial,上院の
prosecutorial,検察の
invulnerable,無敵の|傷つかない
weal,幸福
ergonomics,人間工学
geyser,間欠泉
popularize,一般化する|普及させる
lifeblood,生命線
legalize,合法化する
aurora,オーロラ
spew,噴き出す
coffeehouse,喫茶店
misadventure,不運
ducal,公爵の
thermos,魔法瓶
denude,裸にする
alkalinity,アルカリ性
raster,ラスター
fastball,速球
fuzz,産毛
omelette,オムレツ
luminescent,発光する
myrrh,没薬
copulation,交尾
fixate,固執する
apotheosis,神格化
disallow,認めない
cytoskeleton,細胞骨格
saunter,ぶらぶら歩く
undignified,品位のない
marmalade,マーマレード
reptilian,爬虫類の
solvable,解決可能な
buttonhole,ボタン穴
crevasse,割れ目
vermilion,朱色
perilously,危険に
triviality,些細なこと
subsoil,下層土
turnpike,有料道路
interrelation,相互関係
rectory,牧師館
hangout,たまり場
gooey,ねばねばした
skein,束
atoll,環礁
spittle,つば
avulsion,剥離
cannibal,人食い
groundnut,落花生
roadblock,通行止め
dissonant,不協和な
teahouse,茶屋
ashram,修行場
equipage,装備
camphor,樟脳
sinewy,筋張った
laud,称賛する
unpaired,対のない
stardom,スターの地位
occlude,塞ぐ
deactivate,無効にする
clairvoyant,千里眼の
inhumanity,非人道性
marksman,射撃の名手
hilarity,歓喜
limpid,澄んだ
hex,呪い
alphabetically,アルファベット順に
exonerate,免罪する
roach,ゴキブリ
tenable,持ちこたえられる
gage,担保
irreversibly,不可逆的に
desensitization,感覚鈍化
existentialist,実存主義者
exultant,歓喜に満ちた
denaturation,変性
draconian,苛烈な
deride,嘲笑する
homemaker,主婦（主夫）
bauxite,ボーキサイト
secularist,世俗主義者
meristem,分裂組織
misappropriation,横領
unusable,使えない
psychosomatic,心身の
unblemished,汚れのない
wrathful,激怒した
diatom,珪藻
meteorology,気象学
impel,駆り立てる
moralistic,道徳的な
frostbite,凍傷
nab,捕らえる
avenger,復讐者
equidistant,等距離の
phrasal,句の
trumpeter,トランペット奏者
silico,シリコンの
lifeguard,監視員
semicolon,セミコロン
offhand,ぶっきらぼうに
tinsel,キラキラ飾り
phlegm,痰
unkindly,不親切に
chessboard,チェス盤
marketer,販売者
gazebo,あずまや
inconsiderate,思いやりのない
pixie,妖精
dyspepsia,消化不良
nunnery,修道院
lunacy,狂気
bestial,獣のような
treatable,治療可能な
convalescence,回復期
demurely,控えめに
unadulterated,純粋な
morphogenesis,形態形成
zooplankton,動物プランクトン
headband,ヘッドバンド
cheetah,チーター
biomedicine,生物医学
gastritis,胃炎
striker,ストライカー
bridesmaid,花嫁介添人
ricotta,リコッタ（チーズ）
reiteration,繰り返し
apse,後陣（教会の部分）
frugality,節約
tacky,安っぽい
bismuth,ビスマス
digestible,消化しやすい
tangy,ピリッとした
interposition,介入
intraepithelial,上皮内の
honorably,名誉にかけて
transsexual,性転換者
rerun,再放送
indent,字下げする
musketry,銃撃戦
banality,陳腐さ
featureless,特徴のない
aphrodisiac,媚薬
choroid,脈絡膜
unrequited,報われない
spangle,スパンコール
magisterial,権威ある
neuroprotective,神経保護の
shush,静かにする
cutout,切り抜き
tuber,塊茎
destruct,破壊する
truffle,トリュフ
interagency,省庁間の
wildcat,野良の
melancholia,憂鬱症
acetylene,アセチレン
unknowing,無知の
overdraft,当座貸越
curatorial,キュレーターの
tinder,火種
adrenalin,アドレナリン
unanswerable,答えられない
bludgeon,こん棒で殴る
millstone,製粉石
fulltime,フルタイムの
impersonate,なりすます
hobble,足を引きずる
viscount,子爵
conch,ホラ貝
pesky,迷惑な
catwalk,キャットウォーク
peso,ペソ（通貨）
hedonistic,快楽主義の
pong,悪臭
gymnast,体操選手
woof,犬の吠え声
nucleon,核子
jibe,一致する
counterweight,釣り合い錘
buyout,買収
smelter,製錬所
pitfall,落とし穴
impeccably,申し分なく
roughen,粗くする
watertight,水密の
doggy,犬のような
maim,負傷させる
matchless,比類ない
seasoning,調味料
therefor,それゆえに
torturer,拷問者
octane,オクタン価
jaunt,小旅行
hyperactive,過活動の
kilowatt,キロワット
putt,パット（ゴルフ）
embattled,包囲された
