tartar,歯石
cull,間引く|選び取る
photoperiod,光周期
swoosh,ヒュッという音
escapade,突飛な行動
creaky,きしむ
fibronectin,フィブロネクチン（糖タンパク質）
lockout,締め出し
bronchus,気管支
mammy,ママ（幼児語）
scrounge,たかる|かき集める
unleavened,発酵させていない
unsatisfying,満足できない
insensibly,無意識に|気づかずに
megawatt,メガワット（100万ワット）
determinable,決定可能な
omnipresence,遍在
illegitimacy,非嫡出|違法性
ail,苦しめる
meritocratic,実力主義の
beguile,だます|魅了する
stillborn,死産の|実現しなかった
dyslexic,失読症の
amoeba,アメーバ
flexure,屈曲
magneto,磁気発電機
alliteration,頭韻法
leathern,革製の
tawdry,けばけばしい
windswept,風当たりの強い
bandwagon,時流
diffract,回折させる
wellspring,源泉
druid,ドルイド僧（古代ケルト教の僧）
expeditionary,遠征の
warble,さえずる
fricative,摩擦音
dependability,信頼性
scumbag,クズ|最低な奴
crystallography,結晶学
postmark,消印
schoolyard,校庭
unsubstantiated,根拠のない
disunity,不統一
loth,気が進まない
chelate,キレート化合物|キレート化する
gunpoint,銃口
intemperate,過度な|節度のない
windowpane,窓ガラス
herbage,草
metabolically,代謝的に
jubilation,歓喜
unapproachable,近づきにくい
devastate,壊滅させる
capitulate,降伏する
disfigurement,損傷|醜くすること
apoplexy,脳卒中
tapeworm,条虫
unprovoked,挑発されていない
extradite,引き渡す（犯罪人など）
knockdown,打ち倒す|価格を下げた
autochthonous,土着の|自生の
hm,ふーん|うーん（間投詞）
legation,公使館
facetious,ひょうきんな|冗談の
sickbed,病床
gavel,木槌（裁判や会議で使う）
inflexibility,柔軟性のなさ|頑固さ
picker,拾う人|選別する人
surfeit,過剰
hereof,これに関して
guiltless,無罪の|潔白な
proteinase,プロテイナーゼ（タンパク質分解酵素）
adroitly,巧みに
shortstop,ショート（野球）
cine,映画の（英略式）
officious,おせっかいな|出しゃばりの
regale,もてなす|楽しませる
coquetry,媚態
swatch,見本（布などの）
seigneur,領主（特にフランスの封建領主）
classicism,古典主義
phi,φ・Φ（ギリシャ文字）
ensnare,罠にかける|陥れる
misapprehension,誤解
intramural,学内の|建物内の
insupportable,我慢できない
butchery,肉屋|虐殺
likable,好感のもてる
heist,強盗
enfranchisement,参政権の付与|解放
infighting,内輪もめ
barbell,バーベル
ophthalmologist,眼科医
japonica,ジャポニカ（ボケの一種）
rostrum,演壇|壇上
bumpkin,田舎者
muff,手袋（両手を入れる筒型の防寒具）
troposphere,対流圏
heavenward,天に向かって
uncivil,無礼な
dalliance,戯れ|時間の浪費
apogee,遠地点|絶頂
aeronautical,航空の
downwind,風下の
heraldic,紋章の
creeper,つる植物
precipitously,急激に|険しく
waterborne,水に運ばれる
obdurate,頑固な
humdrum,単調な
barbershop,理髪店
elope,駆け落ちする
forklift,フォークリフト
impregnate,妊娠させる|染み込ませる
unseat,地位を奪う
mastoid,乳様突起（耳の後ろの骨部位）
disapprovingly,非難するように
shockwave,衝撃波
boa,ボア（羽毛や毛皮のマフラー）
tux,タキシード［tuxedoの略語］
dote,溺愛する
licorice,甘草（カンゾウ）|リコリス菓子
pirouette,ピルエット（バレエの）|旋回
remonstrate,抗議する|諫める
filly,若い牝馬|元気な若い女性
tribalism,部族主義
cerebrum,大脳
logbook,航海日誌|作業記録
tun,大樽
torrid,灼熱の|情熱的な
faerie,妖精の国（古語）|妖精
stopover,途中降機|立ち寄り
mustang,野生馬
zoological,動物学の
avidity,渇望|親和性（化学）
palazzo,（イタリア風の）大邸宅
magistracy,治安判事の職|治安判事団
sachet,香料小袋|小包装袋
emetic,催吐剤
rickets,くる病
serendipity,思いがけない発見
disparagement,軽視|中傷
bothersome,煩わしい
imposture,詐称|詐欺
postmodernist,ポストモダン主義者
crossbar,横木|ゴールのバー
osteoblast,骨芽細胞
diagrammatic,図式的な
bawdy,わいせつな|下品な
nonconformity,非同調|体制への反抗
