marking,印|マーキング
faithfulness,忠実さ
shale,頁岩
affluent,裕福な
treachery,裏切り
cape,岬|マント
mop,モップ
incubation,潜伏|孵化
inaccessible,近づけない
assimilate,同化する
implantation,移植
conclusive,決定的な
habitation,住居
defender,守備者|擁護者
sentry,見張り
flirt,いちゃつく
promotional,販促の
poke,突く
ingestion,摂取
sparkle,きらめく
obediently,従順に
enlist,入隊する|協力を得る
shabby,みすぼらしい
unresolved,未解決の
rubble,がれき
supposition,仮定
arbitrator,仲裁者
sullen,不機嫌な
arsenic,ヒ素
dissimilar,似ていない
premier,首相|第一の
facade,外観|見せかけ
sieve,ふるい
folklore,民間伝承
tangent,接線|脱線
flaw,欠陥
gracefully,優雅に
subsidy,補助金
exponentially,指数関数的に
cohesive,結束した
sandstone,砂岩
liturgical,典礼の
quart,クォート（液量単位）
mockery,あざけり
purposeful,意図的な
spleen,脾臓
helm,舵|指導権
neurologic,神経の
mural,壁画
fraudulent,詐欺的な
deflection,偏向|そらし
pinpoint,正確に示す
transcendence,超越
multimodal, 多様式の（学術用語）
orator,雄弁家
overwhelm,圧倒する
diaphragm,横隔膜
lavender,ラベンダー
deterrence,抑止
broom,ほうき
dissipate,消散させる
overtime,残業
circumvent,回避する
thinly,薄く
atheist,無神論者
coastline,海岸線
lobster,ロブスター
insistent,しつこい
seductive,誘惑的な
liaison,連絡|連携
sharpen,鋭くする
homeostasis,恒常性
cafe,カフェ
runaway,逃亡者
lagoon,潟湖|ラグーン
enlighten,啓発する
collide,衝突する
falsely,偽って
fasten,留める
spatially,空間的に
yolk,卵黄
autobiographical,自叙伝的な
professionalism,専門性
tranquil,穏やかな
cordial,心からの
cytoplasm,細胞質
fibrous,繊維質の
lettuce,レタス
orthodoxy,正統派
allegory,寓話
snail,カタツムリ
defer,延期する
hound,猟犬
manifesto,宣言書
disrespect,無礼
stale,古くさい|鮮度の落ちた
atrium,中庭|心房
disproportionate,不釣り合いな
sleek,なめらかな
nanotubes, ナノチューブ（炭素ナノチューブなど）
bridle,手綱|抑制する
ply,使う|重ねる
pact,協定
harmonize,調和させる
