humorous,ユーモアのある
vapour,蒸気
compile,編集する
stately,堂々とした
exhale,息を吐く
vagina,膣
degeneration,退化
polity,政治体制
curly,巻き毛の
alkaline,アルカリ性の
grandeur,壮大さ
lance,やり
shotgun,散弾銃
tingle,ひりひりする
nationally,全国的に
timeline,タイムライン
obese,肥満の
monograph,単著
needy,貧しい
recoil,跳ね返る
orthogonal,直交する
startup,スタートアップ
fullness,満腹感
propriety,適切さ
reflexive,再帰的な
incarceration,投獄
indefinite,不定の
bleak,荒涼とした
securely,安全に
commemorate,記念する
influx,流入
closeness,親密さ
motto,モットー
coating,塗装
ozone,オゾン
redistribution,再分配
enthusiastically,熱心に
somatic,身体の
prominently,目立って
prosecute,起訴する
psychoanalysis,精神分析
ventral,腹側の
salinity,塩分濃度
memo,メモ
plurality,多数
workout,運動
anthropological,人類学の
extinct,絶滅した
nigh,ほとんど
ingenious,独創的な
jelly,ゼリー
infringe,侵害する
pudding,プリン
carbohydrate,炭水化物
supervisory,監督の
insanity,精神錯乱
erroneous,誤った
commencement,開始
demeanor,態度
nourish,養う
objectively,客観的に
sprout,芽生える
rouse,目覚めさせる
environmentally,環境的に
wanna,したい［=want to］（口語）
oblique,斜めの
chemist,化学者
taboo,禁忌
esp,特に［especiallyの略語］
trance,トランス状態
deduct,差し引く
jack,ジャック（カードの札）|男（口語）
inadvertently,うっかりして
beak,くちばし
commute,通勤する
lifeless,生命のない
prolong,延長する
delve,掘り下げる
pavilion,パビリオン
curry,カレー
specialization,専門化
cuisine,料理
reorganization,再編成
shawl,ショール（肩掛け）
bonnet,ボンネット
convoy,護送
deterministic,決定論的な
spotlight,注目
thinker,思想家
sewage,下水
transmitter,送信機
congestion,混雑
drastic,思い切った
immoral,不道徳な
intrigue,陰謀
haven,避難所
insulation,断熱
incidental,付随的な
kindergarten,幼稚園
comrade,仲間
animate,生き生きとさせる
sinner,罪人
transcendental,超越的な
trek,長い旅
scanner,スキャナー
transcendent,卓越した
psychosocial,心理社会的な（心理学用語）
fray,争い
serene,穏やかな
hometown,故郷
austerity,緊縮
justly,正当に
retailer,小売業者
latency,潜伏期間
fabulous,素晴らしい
transporter,輸送機
jug,水差し
negate,否定する
quantification,数量化
enlargement,拡大
obsolete,時代遅れの
ka,カ（古代エジプト語で生命力）
experimentally,実験的に
inefficient,非効率的な
fulfilment,達成
mucosa,粘膜
affiliate,加盟させる
instantaneous,瞬間的な
pawn,質入れする
jurisprudence,法学
interdependence,相互依存
seafood,海産物
ancestry,祖先
leftover,残り物
brutality,残虐性
motherhood,母性
casino,カジノ
trophy,トロフィー
ostensibly,表向きは
guideline,指針
ant,アリ
tacit,暗黙の
outdoors,屋外
urgently,緊急に
poker,ポーカー
tbsp,大さじ［tablespoon の略］
exponent,指数
sweetly,甘く
sanitation,衛生
academia,学問の世界
unreliable,信用できない
porcelain,磁器
bakery,パン屋
ab,腹筋［abdominal musclesの略語］
dogma,教義
guise,外見
neutralize,無力化する
emblem,象徴
thither,あそこへ
unmarried,未婚の
wt,重量［weightの略語］
choke,窒息する
falsehood,虚偽
funnel,漏斗
existent,存在する
culprit,犯人
generously,寛大に
expulsion,追放
eloquent,雄弁な
vacancy,空き
canine,犬の
uterus,子宮
arid,乾燥した
pedal,ペダル
gin,ジン（酒）
unmistakable,間違いない
brood,抱く
conjure,魔法で呼び出す
boxer,ボクサー
facet,側面
sac,袋
creamy,クリーム状の
whim,気まぐれ
syringe,注射器
dispel,追い払う
genealogy,系譜
midwife,助産師
atrophy,萎縮
paradoxical,逆説的な
concomitant,付随する
bartender,バーテンダー
longevity,長寿
opium,アヘン
nostalgia,郷愁
loot,略奪品
mushroom,キノコ
dis,〜ではない（接頭辞）
temperate,温暖な
crusade,十字軍
terrific,すばらしい
disapproval,不賛成
redress,是正
influenza,インフルエンザ
slay,殺す
reshape,再形成する
gratification,満足
quaint,趣のある
idol,偶像
homage,敬意
bulge,膨らみ
modesty,謙虚さ
donate,寄付する
anyhow,とにかく
ferocious,獰猛な
lame,足が不自由な
watershed,分水嶺
dimly,かすかに
responsiveness,応答性
reset,リセットする
shrewd,鋭い
richly,豊かに
curling,カーリング
mechanically,機械的に
caregiver,介護者
shameful,恥ずべき
configure,設定する
floral,花の
plasticity,可塑性
connective,結合の
burrow,穴を掘る
hourly,時間ごとに
exploratory,探査の
roommate,ルームメイト
merciful,慈悲深い
taxonomy,分類学
hydrophobic,疎水性の
consul,領事
conjugate,結合する
snapshot,スナップショット
transfusion,輸血
flask,フラスコ
paternal,父親の
tuition,授業料
advisable,望ましい
dem,彼ら［=them］（口語）
intolerable,耐えられない
ravine,峡谷
realisation,実現［=realization］〈イギリス英語〉
idiom,慣用句
eco,エコ
apartheid,アパルトヘイト
lunar,月の
luminous,光る
issuance,発行
acknowledgement,承認
tandem,連結
ledger,元帳
daytime,昼間
wickedness,邪悪
info,情報
cytokines,サイトカイン（免疫学用語）
hockey,ホッケー
heathen,異教徒
freezer,冷凍庫
forefront,最前線
unpaid,未払いの
tunic,チュニック（外衣）
ethnography,民族誌
irreversible,不可逆的な
hinge,蝶番
endowment,寄付金
dedicate,捧げる
revolve,回転する
desktop,デスクトップ
aneurysm,動脈瘤
yonder,あちらの
competitor,競争者
witchcraft,魔法
rum,ラム酒
inexpensive,安価な
inactive,非活動的な
probabilistic,確率的な
lava,溶岩
macroeconomic,マクロ経済の
encode,符号化する
sternly,厳しく
lush,青々とした
tout,宣伝する
keenly,熱心に
debut,デビュー
ist,〜主義者（接尾辞）
dentist,歯科医
wig,かつら
dwelling,住居
fathom,理解する
amplify,増幅する
postulate,仮定する
melanoma,黒色腫
compulsion,強迫
puddle,水たまり
sunglasses,サングラス
wi,〜と一緒に［=with］（口語）
