threaten,脅かす
governmental,政府の
goat,ヤギ
sting,刺す
sheer,全くの
cloak,マント
elegant,優雅な
genome,ゲノム
documentation,文書
autumn,秋
denial,否定
elevation,標高
fog,霧
hardware,ハードウェア
disposal,処分
accountability,責任
successor,後継者
transparent,透明な
posture,姿勢
costume,衣装
controller,コントローラー
prospective,将来の
flee,逃げる
vascular,血管の
deposition,堆積
maturity,成熟
flock,群れ
clip,クリップ
nightmare,悪夢
approximation,近似
champion,チャンピオン
deadly,致命的な
socio,社会（接頭辞）
demographic,人口統計の
analyst,分析者
loyal,忠実な
mist,霧
deputy,代理人
devotion,献身
rabbit,ウサギ
earthquake,地震
yeah,うん
repetition,繰り返し
forgiveness,許し
martial,戦争の
lemon,レモン
activate,活性化する
abundant,豊富な
qualify,資格を得る
resilience,回復力
cooling,冷却
sensible,分別のある
supreme,最高の
poorly,不十分に
maternal,母の
thrive,繁栄する
dot,点
casual,カジュアルな
formally,正式に
earnings,収益
competent,有能な
abnormal,異常な
insufficient,不十分な
sexuality,性的指向
appetite,食欲
nail,爪
desperately,必死に
variability,変動性
imaginary,想像上の
dock,ドック
motive,動機
helpless,無力な
emission,排出
groan,うめき声
dilemma,ジレンマ
territorial,領土の
toxicity,毒性
receiver,受信機
globe,地球
summarize,要約する
ranch,牧場
residential,住宅の
sob,すすり泣く
coldly,冷たく
defensive,防御的な
clarity,明快さ
validation,検証
tooth,歯
violate,違反する
voyage,航海
regiment,連隊
generator,発電機
preach,説教する
arena,競技場
relational,関係の
favorable,好ましい
token,象徴
rent,家賃
righteous,正義の
intersection,交差点
oath,誓い
surprisingly,驚くほど
albeit,〜ではあるが
synthetic,合成の
grammar,文法
oneself,自分自身
depart,出発する
generic,一般的な
graft,移植
compression,圧縮
limitation,制限
furious,激怒した
graphic,グラフィックの
passionate,情熱的な
pore,細かく調べる
bastard,ろくでなし
raid,急襲
navigate,航行する
hedge,生け垣
outstanding,優れた
closet,戸棚
shy,恥ずかしがりの
arc,弧
anticipate,予期する
dislike,嫌う
thorough,徹底的な
flip,ひっくり返す
sympathetic,共感的な
pond,池
fork,フォーク
guardian,守護者
congregation,集会
oxidation,酸化
tin,スズ
warrior,戦士
officially,正式に
leverage,てこの力
stern,厳格な
vaccine,ワクチン
abruptly,突然に
moisture,湿気
popularity,人気
bloom,花が咲く
armor,鎧
seize,つかむ
boast,自慢する
revision,改訂
liable,責任がある
multitude,多数
jealous,嫉妬深い
straw,わら
compact,小型の
auditor,監査人
corpus,集成
communist,共産主義者
applicant,応募者
controversial,議論の的の
nonsense,ばかげたこと
carcinoma,がん
spectacle,光景
publish,出版する
differentiate,区別する
strap,ひも
stalk,茎
locally,局所的に
defect,欠陥
simplicity,単純さ
discretion,裁量
amplitude,振幅
calmly,落ち着いて
buzz,ブンブンいう音
messenger,使者
travelling,旅行する［=traveling］〈イギリス英語〉
sexy,セクシーな
coil,巻く
prosperity,繁栄
taxi,タクシー
reservation,予約
polite,丁寧な
affirm,断言する
articulate,はっきり話す
whistle,口笛
elementary,基本的な
lick,なめる
closure,閉鎖
hut,小屋
conceal,隠す
intentionally,意図的に
cortex,皮質
dysfunction,機能障害
spill,こぼす
ignorant,無知な
persist,続く
dramatically,劇的に
template,型
encouragement,励まし
questionnaire,アンケート
lately,最近
hesitation,ためらい
mentally,精神的に
max,最大
subset,部分集合
fitness,健康
toast,トースト
garlic,にんにく
proximity,近接
outlet,出口
beef,牛肉
terrorism,テロリズム
vitro,試験管内の
pencil,鉛筆
insert,挿入する
supportive,支援的な
anticipation,予想
imagery,イメージ
atomic,原子の
outbreak,発生
rebellion,反乱
parental,親の
cum,兼ねての
spontaneous,自発的な
intact,無傷の
offensive,攻撃的な
wavelength,波長
spinal,脊髄の
gossip,うわさ話
timber,木材
tire,疲れる
cancel,キャンセルする
endeavour,努力する
infer,推測する
traditionally,伝統的に
geography,地理
interrupt,妨げる
wilderness,荒野
whoever,誰でも
friction,摩擦
diminish,減少する
retention,保持
vacuum,真空
conjunction,接続詞
computational,計算の
restraint,抑制
feminine,女性らしい
conform,従う
approve,承認する
alignment,整列
submission,服従
stabilize,安定させる
supporter,支持者
textbook,教科書
goodbye,さようなら
nutrition,栄養
discern,見分ける
diplomatic,外交の
instability,不安定さ
dependency,依存
vacation,休暇
cognition,認知
multiply,増やす
retrieval,回収
forum,フォーラム
legally,法的に
rack,棚
oppression,抑圧
manipulation,操作
warfare,戦争
sermon,説教
govern,統治する
destructive,破壊的な
toe,つま先
patron,後援者
inspect,検査する
bucket,バケツ
opt,選ぶ
vocal,声の
theorem,定理
mayor,市長
addiction,中毒
deer,鹿
goddess,女神
swell,膨らむ
reactor,原子炉
refusal,拒否
reconcile,和解する
pledge,誓約
pardon,許す
hike,ハイキング
tropical,熱帯の
mitigate,和らげる
sweep,掃く
harbor,港
nationalism,国家主義
ounce,オンス
ink,インク
gauge,計測器
rude,無礼な
refuge,避難所
butt,尻
rejoice,喜ぶ
cohort,仲間
hostility,敵意
municipal,市の
provincial,地方の
bull,雄牛
splendid,素晴らしい
broker,仲介者
receipt,領収書
diffuse,拡散する
garage,車庫
thereof,それの
salad,サラダ
nationalist,国家主義者
elephant,象
peptide,ペプチド
bitch,雌犬
vegetable,野菜
amid,～の中で
sect,宗派
antigen,抗原
painter,画家
honestly,正直に
incomplete,不完全な
breakdown,故障
obedience,服従
stool,椅子|便
prosecution,起訴
ing,〜している（接尾辞）
disruption,混乱
decisive,決定的な
