immunization,免疫化
rye,ライ麦
determinism,決定論
prescriptive,規定的な
zealous,熱心な
angiography,血管造影
antithesis,対立語|正反対
firewall,ファイアウォール|防御壁
keel,竜骨
urn,骨壷|装飾つぼ
prank,いたずら
lubricant,潤滑剤
phenotypic,表現型の
frigate,フリゲート艦
underdeveloped,未発達の
unkind,不親切な
assuredly,確かに
itinerary,旅程|日程表
chandelier,シャンデリア
cracker,クラッカー|爆竹
thereto,それに|その点に
pathophysiology,病態生理学
purr,ゴロゴロ鳴く
bedrock,基盤|岩盤
importation,輸入
caliber,能力|口径
cadence,抑揚|リズム
homelessness,ホームレス状態
onstage,舞台上で
encampment,野営地
distributive,分配の
untrue,事実でない
dogmatic,独断的な
bridegroom,花婿
installment,分割払い|分冊
serving,1人前|配膳
pseudonym,偽名
broccoli,ブロッコリー
unduly,過度に
fluidity,流動性
hardwood,広葉樹材
catalysis,触媒作用
sedentary,座りがちな
adjudication,裁定
extravagance,浪費
postpartum,産後の
criticise,批判する
epidermal,表皮の
mmol,ミリモル
papyrus,パピルス|古代紙
prosthetic,義肢の
topple,倒す
dishevel,乱す
malady,病気
misunderstand,誤解する
sapphire,サファイア
dictum,格言
luckily,運良く
reagent,試薬
blatant,露骨な
tit,カラ類の小鳥
scholastic,学問の
burglary,侵入盗
continuance,継続
boyish,少年のような
spoonful,スプーン1杯
fluoride,フッ化物
folio,フォリオ判
freelance,フリーランス
sizable,かなり大きな
dissuade,思いとどまらせる
meek,従順な
profusely,豊富に|激しく
daybreak,夜明け
volition,意志
axiom,公理
unprotected,無防備な
immutable,不変の
longitude,経度
pragmatism,実用主義
readership,読者層
pretreatment,前処理
fax,ファックス
recast,作り直す
cumbersome,扱いにくい
scrutinize,精査する
astute,抜け目のない
affront,侮辱
fanciful,空想的な
preamble,前文
nylon,ナイロン
immanent,内在する
bide,待つ
thrice,3度
convincingly,説得力をもって
industrious,勤勉な
silken,絹のような
ludicrous,ばかげた
genial,愛想のよい
demonstrative,感情を表に出す
abomination,嫌悪すべきもの
fabricate,捏造する
burglar,泥棒
syndicate,企業連合
fragmentary,断片的な
fateful,運命的な
acidosis,アシドーシス|酸性血症
jumper,ジャンパー|セーター
transcriptional,転写の
barbarous,野蛮な
pedigree,血統
nodal,節の
enquire,問い合わせる
applaud,拍手する
predefined,あらかじめ定義された
recessive,劣性の
wanton,無差別な
sluggish,鈍い
injurious,有害な
miraculously,奇跡的に
creak,きしむ
coyote,コヨーテ
readable,読みやすい
shrub,低木
inquisitive,詮索好きな
blasphemy,冒涜
brainstem,脳幹
monolithic,一枚岩の
audacity,大胆さ
rheumatoid,リウマチ性の
starry,星の多い
drummer,ドラマー
meager,乏しい
reestablish,再建する
positivity,肯定性
binomial,二項の
millimeter,ミリメートル
obscene,わいせつな
physiologic,生理学的な
lightness,軽さ
privy,関与している
homogenous,同質の
polygon,多角形
citadel,城塞
cowardice,臆病
explorer,探検家
phylogenetic,系統発生の
informally,非公式に
laborious,骨の折れる
campsite,キャンプ場
brine,塩水
unskilled,熟練していない
unstructured,構造化されていない
fundamentalist,原理主義者
gypsy,ジプシー
afloat,浮かんで
bona,善意の（ラテン語由来）
manganese,マンガン
biodegradable,生分解性の
rpm,回転数|毎分回転数
eel,ウナギ
cove,入り江
envisage,心に描く
bash,強打する
admirably,見事に
taunt,あざける
merciless,容赦ない
sweetie,かわいこちゃん
stepfather,継父
airfield,飛行場
evangelist,伝道者
intractable,手に負えない
sedan,セダン車
congruent,一致する
parson,牧師
fain,喜んで
unmarked,印のない
insidious,潜行性の
osmotic,浸透圧の
multiculturalism,多文化主義
embargo,禁輸
predispose,〜しやすくする
numeric,数値の
bible,聖書
atone,償う
distraught,取り乱した
nave,身廊|教会中央部
burly,がっしりした
impunity,免責
acupuncture,鍼治療
newfound,新たに見つかった
immobilization,固定
foothold,足がかり
earnestness,まじめさ
boyhood,少年時代
rector,学長|教区牧師
enigmatic,謎めいた
legitimately,合法的に
diss,侮辱する
predominance,優勢
wreckage,残骸
dusky,薄暗い
confessional,告解の|告白の
unambiguous,曖昧でない
sill,窓台
clockwise,時計回りの
expectant,期待している
diocese,教区
annexation,併合
marina,ヨット港
exasperation,憤慨
incomparable,比類なき
exclusionary,排他的な
organizer,主催者
haggard,やつれた
commonwealth,連邦|国民共同体
anthem,国歌
rendition,解釈|演奏
breathtaking,息をのむような
exegesis,聖書解釈
truthfully,正直に
unidentified,未確認の
divulge,漏らす
inaction,不作為
endometrial,子宮内膜の
inoculation,予防接種
infrequent,まれな
radiograph,X線画像
spaghetti,スパゲッティ
overhaul,徹底的な点検
impractical,非現実的な
unwise,賢明でない
circumcision,割礼
thermodynamics,熱力学
unquestionably,疑いなく
occupant,居住者
convergent,収束する
prelude,前奏
fission,核分裂
stereotypical,典型的な|紋切型の
epidural,硬膜外の
embed,埋め込む
lichen,地衣類
stint,任期
acidity,酸性度
secretive,秘密主義の
consumerism,消費主義
discreetly,慎重に
denunciation,非難
glutamate,グルタミン酸
anorexia,拒食症
alibi,アリバイ
stereo,ステレオ
constructor,建設業者
comical,こっけいな
nicotine,ニコチン
intonation,イントネーション
quay,埠頭
tenement,借家アパート
broadband,ブロードバンド
shun,避ける
nick,切り傷
surreal,超現実的な
shorthand,速記
adenoma,腺腫
billionaire,億万長者
syphilis,梅毒
jingle,ジングル|短い宣伝音
ethyl,エチル
religiosity,敬虔さ
matron,婦長
alcoholism,アルコール依存症
wrinkle,しわ
savvy,知識|理解
gruesome,ぞっとする
cuddle,抱きしめる
effortlessly,楽に
horny,興奮した|性的に
gully,側溝|谷間
chromium,クロム|金属元素
cauldron,大釜
berry,ベリー|小果実
dismissive,拒絶的な
abuser,虐待者
surmise,推測する
churchyard,教会墓地
willful,故意の
immorality,不道徳
calcification,石灰化
copious,豊富な
infernal,地獄のような
infrequently,まれに
analgesia,無痛覚
tyrosine,チロシン|アミノ酸
metamorphosis,変態|変化
skipper,船長
meticulously,綿密に
infidelity,不貞
movable,動かせる
addressee,受取人
rectum,直腸
hoot,鳴き声|嘲笑
tact,機転
vassal,家臣
biceps,上腕二頭筋
whiff,かすかな匂い
fleshy,肉付きの良い
osteoporosis,骨粗しょう症
firstborn,最初に生まれた子
mu,μ・Μ（ギリシャ文字）
southwestern,南西の
asymmetrical,非対称の
recuperate,回復する
executioner,死刑執行人
octave,オクターブ
overlay,覆う
shin,すね
criminality,犯罪性
cleanup,清掃
watchman,警備員
reopen,再開する
greenish,緑がかった
eclectic,折衷的な
fortitude,不屈の精神
scandalous,不名誉な
proto,原始的な|初期の
warily,用心して
beware,気をつける
pernicious,有害な
hanger,ハンガー
distinguishable,識別可能な
deforestation,森林伐採
streamline,合理化する
penicillin,ペニシリン
philanthropy,博愛
ferocity,凶暴さ
comer,来る人
quantitatively,量的に
ventilator,人工呼吸器
austere,質素な
battleship,戦艦
shampoo,シャンプー
pervert,変質者|ゆがめる
amyloid,アミロイド|タンパク質の一種
lemonade,レモネード
groundwork,基礎
livery,制服
causative,原因となる
browse,閲覧する
transgress,違反する
resentful,憤慨している
foolishly,愚かに
rarity,珍しさ
scorpion,サソリ
deviance,逸脱
pilgrim,巡礼者
symbiotic,共生の
magnificence,壮麗さ
oppress,抑圧する
weighty,重い|重大な
cringe,すくむ
solidify,固める
coronation,戴冠式
wreak,もたらす|引き起こす
poppy,ケシの花
nanotechnology,ナノ技術
hypnotic,催眠の
rejoin,再参加する
inventive,発明の才がある
allergen,アレルゲン|アレルギー物質
reductive,還元的な
dissect,解剖する
conglomerate,複合企業
bikini,ビキニ
projector,プロジェクター
peacock,クジャク
whack,強打する
jeopardy,危機
cactus,サボテン
tic,けいれん
birthplace,出生地
helium,ヘリウム
satirical,風刺的な
fruition,実現
unsaturated,不飽和の
turquoise,ターコイズ|トルコ石
hilarious,非常に面白い
neoclassical,新古典主義の
vegetative,植物の|無意識の
evacuate,避難する
aught,何もない|ゼロ
thanksgiving,感謝祭
meditative,瞑想的な
regress,退行する
veterinarian,獣医
unintentional,意図しない
demo,デモ|実演
futility,無益
bridal,結婚式の
reformation,改革
somber,暗い
graze,牧草地|かすめる
filial,子の|親に対する
tracer,追跡者|トレーサー
maximization,最大化
duo,二重奏
cleverly,巧みに
popcorn,ポップコーン
seamless,継ぎ目のない
commemoration,記念
sensuous,感覚的な
absently,ぼんやりと
espionage,スパイ活動
fecal,糞便の
indebtedness,負債
desirability,望ましさ
glamour,魅力
encyclopedia,百科事典
melodic,旋律的な
elm,ニレの木
handshake,握手
chromatin,クロマチン|染色質
digitally,デジタルに
miner,鉱夫
interchangeably,交換可能に
slum,スラム街
confluence,合流点
farce,茶番劇
efficacious,効果的な
carelessness,不注意
elegantly,優雅に
surveyor,測量士
lipoprotein,脂質蛋白
understandably,理解できるように
treasurer,会計係
pail,バケツ
creatinine,クレアチニン
deductive,演繹的な
forgery,偽造
mire,泥沼
crucifixion,磔刑
characteristically,特徴的に
belligerent,好戦的な
wholeheartedly,心から
admonition,忠告
centrifugal,遠心の
incompatibility,不適合
objectionable,好ましくない
devilish,悪魔のような
judicious,賢明な
unfairly,不公平に
jeep,ジープ
intimidate,脅す
hypersensitivity,過敏症
enclose,囲む
inaugural,就任の
mermaid,人魚
glamorous,魅力的な
inactivation,不活性化
grievous,重大な
atlas,地図帳
cynicism,皮肉
appliance,器具
comprehensively,包括的に
hyperbolic,誇張的な
ver,非常に（スペイン語由来）
scanty,不足した
biliary,胆汁の
reborn,生まれ変わった
cheery,陽気な
impure,不純な
cubicle,小部屋
bandit,山賊
unsupervised,監督なしの
homely,地味な|家庭的な
escalate,エスカレートする
disintegrate,崩壊する
computerize,コンピュータ化する
nape,うなじ
forego,先に行う|断念する
fanatic,熱狂者
breathlessly,息をのんで
septic,感染性の
morsel,一口
androgen,男性ホルモン
booty,戦利品
deconstruct,解体する
peritoneal,腹膜の
cyclone,サイクロン|台風
handicap,障害
honorary,名誉の
umbilical,臍の
gunpowder,火薬
predictability,予測可能性
algorithmic,アルゴリズムの
misgiving,不安
peat,泥炭
catalyze,促進する
legislate,立法する
placid,穏やかな
ruddy,赤みがかった
tumultuous,騒々しい
cask,樽
waive,放棄する
archipelago,群島
vainly,無駄に
splint,添え木
navigator,航海士
percutaneous,経皮の
periodontal,歯周の
unhappily,不幸に
legislator,立法者
lunge,突進する
hammock,ハンモック
glycoprotein,糖タンパク質
permanence,永続性
chastity,純潔
disprove,誤りを証明する
campground,キャンプ場
ideologically,イデオロギー的に
unwind,くつろぐ
amazingly,驚くほど
antitrust,反独占の
solemnity,厳粛さ
incontinence,失禁
tortoise,カメ
garner,集める
inauguration,就任式
moderator,司会者
merrily,陽気に
staunch,忠実な
wistful,物悲しい
silicate,ケイ酸塩
allotment,割り当て
seaside,海辺
latex,ラテックス|天然ゴム
consensual,合意の上の
campfire,たき火
sleepless,眠れない
wan,青白い
indignantly,憤慨して
magically,魔法のように
lamina,薄板|葉片
inducement,誘因
idleness,怠惰
parch,乾かす
emanate,発する
sedimentation,沈降
retrograde,逆行の
definitively,決定的に
supine,仰向けの
fide,信頼して（ラテン語由来）
incantation,呪文
sloppy,だらしない
activator,活性化因子
eradication,根絶
rigidly,厳格に
rationalization,合理化
glaucoma,緑内障
sledge,そり
ladyship,貴婦人の称号
indistinct,不明瞭な
amputation,切断
accentuate,強調する
entourage,側近
haircut,散髪
drunkenness,酩酊
popularly,一般に
pomp,豪華さ
especial,特別な
immunodeficiency,免疫不全
actin,アクチン
demarcation,境界設定
extrusion,押し出し
participle,分詞
lemma,補題
enumerate,列挙する
determinate,決定的な
antipsychotic,抗精神病薬
clover,クローバー
pacify,鎮める
ethereal,空気のような|軽い
dermal,皮膚の
upland,高地
charisma,カリスマ性
ford,浅瀬|渡河点
radiographic,X線撮影の
smallpox,天然痘
chieftain,首長
tightness,きつさ
hotly,激しく
photosynthetic,光合成の
landowner,地主
clique,派閥
flimsy,薄弱な
unbounded,無限の
