politician,政治家
perpetuate,永続させる
conspicuous,目立つ
bedside,寝台のそば
icy,氷のような
compulsory,必須の
nonprofit,非営利の
discursive,散漫な
autism,自閉症
pseudo,偽の
evening,夕方
marketplace,市場
infinitely,無限に
nursery,保育園
advent,出現
wastewater,廃水
hue,色合い
unwanted,望まれない
lender,貸し手
airline,航空会社
silicon,シリコン
electromagnetic,電磁の
pope,法王
glove,手袋
premature,早すぎる
prognosis,予後
ethanol,エタノール
amend,修正する
trumpet,トランペット
wallet,財布
pediatric,小児科の
modulation,変調
scarf,スカーフ
trickle,滴る
commence,始める
camel,ラクダ
flare,閃光
penis,陰茎
intensely,激しく
nobility,貴族
upside,上向き
imperfect,不完全な
bureaucratic,官僚的な
plaque,プラーク（歯垢）
incoming,到着する
nausea,吐き気
fulfillment,達成
pigment,色素
conjecture,推測
unchanged,変わらない
notification,通知
microscopy,顕微鏡観察
deprivation,喪失
nap,昼寝
lexical,語彙の
symmetric,対称の
lawsuit,訴訟
frontal,前面の
contention,争い
awesome,素晴らしい
analytics,分析
colonialism,植民地主義
cooky,変わり者（口語）
zinc,亜鉛
starch,でんぷん
cunning,ずる賢い
insofar,〜する限りは
fore,前の
motionless,動かない
charitable,慈善の
chimney,煙突
tion,〜すること（接尾辞）|〜化（接尾辞）
nowadays,最近は
auxiliary,補助の
pastoral,田園の
garment,衣服
airplane,飛行機
famine,飢饉
rob,強奪する
suture,縫合
fellowship,友情
accessibility,アクセスしやすさ
porous,多孔性の
comfortably,快適に
antagonist,敵対者
kneel,ひざまずく
mystical,神秘的な
perpendicular,垂直の
nicely,うまく
affirmation,肯定
mule,ラバ
heterogeneity,異質性
teenage,10代の
onwards,以降
detachment,分離
unusually,異常に
martyr,殉教者
authoritative,権威ある
shark,サメ
internationally,国際的に
smash,粉々にする
submarine,潜水艦
liberalism,自由主義
sequential,連続した
antibiotic,抗生物質
nipple,乳首
vs,〜対〜［versusの略］
tailor,仕立て屋
transverse,横断の
referral,紹介
cardinal,枢機卿
modulus,法則
artwork,芸術作品
seminar,セミナー
battalion,大隊
bearer,持ち主
bourgeois,ブルジョア
interrogation,尋問
aortic,大動脈の
fuss,騒ぎ
diarrhea,下痢
robbery,強盗
pest,害虫
gateway,玄関口
organisational,組織的な［=organizational］〈イギリス英語〉
exponential,急増の
paddle,櫂
automation,自動化
designate,指定する
militia,民兵
hemisphere,半球
humidity,湿度
endurance,耐久力
dedication,献身
shriek,悲鳴
pamphlet,パンフレット
sandy,砂の多い
allegiance,忠誠
badge,バッジ
rectangular,長方形の
cupboard,食器棚
xi,ξ・Ξ（ギリシャ文字）
recording,録音
gastric,胃の
corps,団体
flatter,お世辞を言う
feeble,弱い
hemorrhage,出血
breakthrough,突破口
believer,信者
susceptibility,感受性
lifelong,生涯の
indignation,憤り
slack,緩い
indicative,示唆的な
het,熱い（俗語）
factual,事実の
athletic,運動の
excavation,発掘
petroleum,石油
unconsciously,無意識に
unpredictable,予測不能な
prick,刺す
jointly,共同で
bilingual,二言語の
flavour,味
royalty,王族
reluctance,気が進まないこと
renew,更新する
transplantation,移植
distrust,不信
aspiration,願望
um,ええと
imminent,差し迫った
dusty,ほこりっぽい
intrusion,侵入
hepatic,肝臓の
frankly,率直に
youthful,若々しい
groundwater,地下水
garrison,守備隊
catastrophe,大災害
lone,孤独な
asshole,嫌なやつ（俗語）
localization,局地化
skeletal,骨格の
epoch,時代
erection,勃起
digest,消化する
traveler,旅行者
constituent,構成要素
athlete,運動選手
repression,抑圧
biodiversity,生物多様性
sic,原文通りに（注記）
periphery,周辺
garbage,ゴミ
bald,はげた
animation,アニメーション
managerial,管理の
microwave,電子レンジ
irrational,非合理的な
flick,パッと動く
discourage,落胆させる
veteran,退役軍人
stout,頑丈な
aromatic,芳香のある
inherit,継承する
fin,ひれ
syntax,構文
ammunition,弾薬
amazement,驚き
offender,犯罪者
intently,熱心に
clinically,臨床的に
hypothetical,仮説の
glide,滑る
understandable,理解できる
lymph,リンパ液
ramp,スロープ
cyst,嚢胞
steak,ステーキ
continual,連続的な
insistence,主張
spectroscopy,分光法
unrelated,無関係な
biscuit,ビスケット
arthritis,関節炎
contemplation,熟考
hello,こんにちは
saturation,飽和
ineffective,効果のない
thine,あなたの（古語）
quota,割り当て
rainbow,虹
mast,マスト
hammer,金槌
memorable,記憶に残る
paradise,楽園
resection,切除
promoter,推進者
yarn,糸
magnet,磁石
spherical,球状の
salmon,サケ
bribe,賄賂
emergent,出現する
unlimited,無制限の
wary,用心深い
behavioural,行動に関する［=behavioral］〈イギリス英語〉
incision,切開
brute,獣
pervasive,広がる
tame,飼いならされた
cowboy,カウボーイ
instinctively,本能的に
embodiment,具現化
