frank	フランク(F-人名)|あからさまな|無料送達する|率直な|公然の
graphic	グラフィック|グラフの|図画の|グラフィックアートの|目のあたりに見るような|生きいきとした
associate	関連づける|連想する|つきあう|仲間|同僚
processor	処理装置
insert	挿入する
zoom	急上昇|急上昇する
submission	服従|従順|寄託|提案|提出|仲裁付託|(レスリング)押さえ込みに屈すること
surprise	驚き|を驚かせる
hang	掛ける|つるす|絞首刑する･になる
broadcast	放送する|広く|放送
trailer	トレーラー|引く人|追跡者|予告編|キャンピングカー
capture	を捕まえる|(注意など)を引きつける
anonymous	匿名の
miscellaneous	雑多な|種々雑多の|種々雑多なものからなる|多方面の
revision	改訂|改正|手直し|加筆|是正|校閲|改訂版|復習
dot	点を打つ|小数点|点
territory	販売区域|領土|地域|地方|分野|領域|縄張り
trouble	問題|悩み|苦労|悩ませる
clearly	明瞭に|はっきりと|明るく
vintage	(ある特定地域･時期の)ぶどう酒|古くて価値のあるもの
lease	賃貸契約|(土地･建物など)を賃貸する|賃借する
seminar	セミナー
substance	実体|物質|実質|内容|財産|大要|薬物|麻薬
adapter	改作者|翻案者|アダプター
generate	生成する|発生させる
diff	差分(二つの値の差)
bonus	ボーナス|特別配当金|思いがけない贈り物
frequently	しばしば|頻繁に
reform	改革する|改心させる|改正する|改善する|を矯正する|革新|感化
zero	0|ゼロ
tip	先|頂点|(内々の)情報|警告|(コンピューター)チップ|祝儀|を傾ける|を開ける|を捨てる|に先をつける
euro	ユーロ|EUの通貨
advisor	忠告者(主に米式綴り)
ratio	割合|比例|比
negative	マイナスの|否定の|消極的な|陰画の
whatever	どんなでも|物は何でも|どんな事が～とも|どんな～でも|いったい何
math	数学|mathematics
intelligence	知性|知力･知能|(他国に関する)情報|諜報
checkout	チェックアウト|精算|精算カウンター
junior	年少の|年少者
exactly	正確に|ちょうど
concert	コンサート|音楽会|演奏会|調和|一致|呼応|囃子|合奏|合唱|合意で解決する
tone	に調子をつける|調子|音|口調|色調|傾向|(体の)平常の調子|正常な状態
nearly	ほとんど|よく似て|ほぼ|近くに|親しく
eligible	資格のある|望ましい|適任者
applicant	志願者|応募者
gaming	賭博
extreme	極端な|非常な|極度の|過激な|最後の|窮境|危機|最後の手段
mechanism	機構|機械装置|仕組み|手段|メカニズム
circle	旋回する|迂回する|円|軌道|円周|輪|範囲|循環|集団
interaction	相互作用
shift	を変える|移す|変化|移動|交替
anime	アニメ|アニメーション
plug	差し込み|消火栓|栓|プラグ|ソケット|点火栓|をふさぐ|宣伝(する)
solve	を解決する
con	反対の
plain	明白な|質素な|率直な|(味が)あっさりした|平原|平野
residential	住居の
treat	を扱う|を手当てする|楽しみ|喜び|おごり
burn	燃やす|火傷
academy	専門学校|学士院
seed	種|をまく|種をまく|(スポーツ)シードする
matrix	母体|(数)行列|鋳型|字母|マトリックス|素地
principal	重要な|主要な|第1の|元金の|主役|支配者|校長|社長|主犯|第一債務者
sing	(を)歌う
identity	身元|正体|独自性
spam	スパム
sky	空
consideration	考慮|思いやり
compatible	両立できる|矛盾のない|(ソフトウェアなどで)互換性がある
genre	類型|形式|様式|ジャンル|風俗画(の)|特殊な技術･ストーリー･セットを使用した映画
fruit	くだもの
rural	rural|都会(urban)に対し|田舎(いなか)風の|田園の
