currently,現在
blind,盲目の
defend,守る
wound,傷
deliver,届ける
significance,重要性
extract,抽出する
wheel,車輪
import,輸入する
barrier,障壁
restaurant,レストラン
mm,ミリメートル
privilege,特権
bedroom,寝室
assistance,援助
vector,ベクトル
barely,ほとんど〜ない
personality,個性
hat,帽子
website,ウェブサイト
east,東
appreciate,感謝する
logic,論理
comfortable,快適な
burst,破裂する
rapidly,急速に
edition,版
continuous,連続した
tumor,腫瘍
scope,範囲
implement,実行する
theoretical,理論的な
split,分割する
nuclear,核の
overcome,克服する
burn,燃える
rush,急ぐ
depend,依存する
scenario,シナリオ
annual,毎年の
flesh,肉
discover,発見する
beam,光線
lawyer,弁護士
afford,余裕がある
guarantee,保証する
comment,コメント
being,存在
symbol,象徴
properly,適切に
resource,資源
universal,普遍的な
proportion,割合
rapid,急速な
ruin,破壊する
identification,識別
tonight,今夜
anymore,もはや〜ない
wise,賢い
magic,魔法
collect,集める
psychological,心理的な
grass,草
discovery,発見
insurance,保険
stability,安定
praise,称賛する
palm,ヤシの木
resist,抵抗する
anyway,とにかく
impression,印象
fold,折りたたむ
integration,統合
category,カテゴリー
steel,鋼鉄
equivalent,同等の
outline,概要
proposal,提案
effectively,効果的に
destroy,破壊する
possession,所有物
illustrate,説明する
construct,建設する
grip,握る
stir,かき混ぜる
diversity,多様性
employer,雇用者
mood,気分
random,ランダムな
wed,結婚する
trap,罠
membrane,膜
settlement,解決
sensitive,敏感な
committee,委員会
childhood,子供時代
terrible,ひどい
absolute,絶対的な
literary,文学の
strongly,強く
flame,炎
concrete,具体的な
star,星
efficient,効率的な
jump,跳ぶ
organic,有機の
initiative,主導権
democracy,民主主義
sake,ため
obviously,明らかに
package,包み
valuable,価値のある
brush,ブラシ
corporate,企業の
dozen,12個
mom,母
expand,拡大する
illness,病気
loan,貸付
port,港
grace,優雅さ
bread,パン
lower,下げる
interval,間隔
burden,負担
creative,創造的な
filter,ろ過する
mechanical,機械の
surgery,手術
string,ひも
poet,詩人
dispute,争い
poverty,貧困
uniform,制服
roof,屋根
wisdom,知恵
button,ボタン
conclude,結論付ける
thee,あなた（古語）
sad,悲しい
somehow,どういうわけか
nervous,緊張した
employee,従業員
determination,決意
forever,永遠に
ignore,無視する
breakfast,朝食
classification,分類
superior,優れた
complexity,複雑さ
stem,茎
stretch,伸ばす
intensity,強度
log,丸太
ultimately,最終的に
hug,抱きしめる
speaker,話者
experimental,実験的な
approximately,約
update,更新する
sand,砂
relate,関係する
budget,予算
worship,崇拝する
delight,喜び
suitable,適切な
electron,電子
radical,急進的な
hypothesis,仮説
found,設立する
truck,トラック
suffer,苦しむ
repeat,繰り返す
knife,ナイフ
mixture,混合物
defendant,被告
detection,検出
syndrome,症候群
biological,生物学の
satisfy,満足させる
kid,子供
doctrine,教義
pretend,ふりをする
formula,公式
slide,滑る
institutional,制度の
imagination,想像力
refuse,拒否する
ye,あなたたち（古語）
mail,郵便
grain,穀物
crucial,重大な
apparent,明白な
flood,洪水
golden,黄金の
alcohol,アルコール
provision,規定
repair,修理する
strategic,戦略的な
greatly,大いに
organ,器官
lunch,昼食
dust,ほこり
joke,冗談
opposition,反対
percentage,割合
recovery,回復
scan,スキャンする
beg,懇願する
fate,運命
evident,明白な
proud,誇りに思う
bus,バス
organisation,組織
constantly,絶えず
desert,砂漠
tendency,傾向
moon,月
export,輸出する
architecture,建築
radio,ラジオ
bias,偏見
seriously,真剣に
operator,操作者
priority,優先順位
presentation,発表
hence,それゆえに
custom,習慣
grasp,理解する
beach,ビーチ
lake,湖
grave,墓
humanity,人類
versus,〜対〜
editor,編集者
classroom,教室
layer,層
collapse,崩壊する
scream,叫ぶ
conscious,意識している
noble,高貴な
expansion,拡大
gradually,徐々に
contrary,反対の
spectrum,範囲
adopt,採用する
permit,許可する
remind,思い出させる
fan,扇風機
consequence,結果
honest,正直な
satisfaction,満足
march,行進する
distinguish,区別する
strengthen,強化する
plus,プラス
sigh,ため息
bowl,ボウル
bite,噛む
executive,重役
revenue,収入
calculation,計算
atmosphere,雰囲気
consent,同意
mobile,移動可能な
kingdom,王国
reverse,逆の
coach,コーチ
agricultural,農業の
preference,好み
establishment,設立
companion,仲間
emotion,感情
suggestion,提案
gentle,優しい
pose,ポーズをとる
slip,滑る
tail,尾
breathe,呼吸する
coordinate,調整する
characteristic,特徴
eliminate,排除する
genetic,遺伝の
rarely,めったに〜ない
nod,うなずく
tube,管
combine,結合する
electronic,電子の
click,クリックする
precisely,正確に
extension,拡張
unto,〜へ（古語）
victory,勝利
conventional,従来の
coast,海岸
survival,生存
extensive,広範囲の
emergency,緊急
player,選手
chamber,部屋
panel,パネル
pathway,通路
lung,肺
replace,置き換える
ocean,海
pride,誇り
simulation,シミュレーション
deny,否定する
arrival,到着
coefficient,係数
gray,灰色の
substantial,実質的な
governance,統治
verse,詩節
motor,モーター
thereby,それによって
absolutely,絶対に
journal,雑誌
crew,乗組員
infrastructure,インフラ
dominant,支配的な
friendly,友好的な
television,テレビ
steady,安定した
steal,盗む
tale,物語
revolution,革命
liability,責任
wire,ワイヤー
transform,変形する
pile,山積み
spell,つづる
fund,資金
ethical,倫理的な
infant,乳児
diverse,多様な
hero,英雄
fool,愚か者
strip,細長い部分
violent,暴力的な
exact,正確な
damn,くそ
lock,鍵
palace,宮殿
feedback,フィードバック
namely,すなわち
tower,塔
uncertainty,不確実性
segment,部分
alarm,警報
colonial,植民地の
instant,即座の
shell,殻
ass,尻
universe,宇宙
axis,軸
everywhere,どこでも
tap,たたく
cm,センチメートル
criticism,批判
counsel,助言
accuracy,正確さ
heavily,激しく
ray,光線
receptor,受容体
accurate,正確な
distant,遠い
favorite,お気に入りの
originally,元々
climb,登る
spatial,空間の
swear,誓う
depression,うつ病
physician,医師
intense,強烈な
shore,岸
fuck,くそったれ
senior,年上の
involve,含む
planet,惑星
monitor,監視する
prefer,好む
minority,少数派
pulse,脈拍
necessity,必要性
independence,独立
oxygen,酸素
database,データベース
interface,インターフェース
grab,つかむ
exceed,超える
asleep,眠っている
liberal,自由主義の
ethnic,民族の
separation,分離
institution,機関
sphere,球体
punishment,罰
chronic,慢性的な
bare,裸の
