erythrocyte,赤血球
telepathic,テレパシーの
absorbent,吸収性の
disputation,議論
assiduously,根気強く
slacken,緩める
seedy,みすぼらしい
tourniquet,止血帯
thoroughness,徹底
reconstitute,再構成する
sou,ソウ銅貨|小額硬貨
unforgivable,許しがたい
manliness,男らしさ
tango,タンゴ
guile,ずる賢さ
idiomatic,慣用的な
astern,船尾に
staffer,職員
impermissible,許されない
fester,化膿する|悪化する
insensitivity,鈍感さ
numeracy,数的理解力
quantile,分位数
fluorine,フッ素
ribosomal,リボソームの
backer,支援者
hairless,無毛の
hubbub,騒ぎ
immaturity,未熟さ
fascinate,魅了する
twain,二つ
congregational,会衆の
drugstore,ドラッグストア
recursion,再帰
bacteriophage,バクテリオファージ
onscreen,画面上の
savant,学者
romantically,ロマンチックに
bequeath,遺贈する
qualifier,予選通過者|修飾語
watcher,観察者
ballpark,球場|概算
habituation,習慣化
standoff,膠着状態
misinterpret,誤解する
elapse,経過する
dejection,落胆
valvular,弁の|心臓などの
deserter,脱走兵
rejuvenation,若返り
councillor,議員
criminally,犯罪的に
perforce,やむを得ず
doughnut,ドーナツ
enema,浣腸
outbound,外向きの
keystone,要石|中核
repulse,撃退する
preheat,予熱する
gentile,異教徒|ユダヤ人以外
climactic,最高潮の
transcriptome,転写産物全体
pennant,ペナント
figuration,形象化|図形化
showdown,決着|対決
abstention,棄権
scepter,王笏
smallness,小ささ
unperturbed,動じない
transept,翼廊|教会建築
uncharted,地図にない
undetectable,検出できない
criminalize,犯罪とする
conversant,精通している
intermarriage,異族間結婚
abhorrence,嫌悪
sketchbook,スケッチブック
meow,ニャーという鳴き声
morpheme,形態素
spellbind,魅了する
alanine,アラニン|アミノ酸
forenoon,午前中
apostate,背教者
virtuoso,名人
pasty,青白い
drunk,酔っ払い
unprofessional,プロらしくない
culminate,最高潮に達する
spongy,スポンジのような
torrential,激しい
centaur,ケンタウロス
calcareous,石灰質の
squelch,ぐしゃっと音を立てる|抑える
penguin,ペンギン
ballerina,バレリーナ
granule,粒
underserved,十分なサービスを受けていない
banjo,バンジョー
prescient,予知能力のある
demonstrably,明白に
fibula,腓骨|足の骨
steric,立体障害のある（化学用語）
