sightless,目の見えない
oratorio,オラトリオ（宗教的音楽劇）
concavity,凹面
linden,菩提樹
piercing,鋭い|ピアス
chewy,噛みごたえのある
gluconeogenesis,糖新生
demesne,領地
awl,錐（きり）
mummify,ミイラ化する
unclaimed,請求されていない
transience,はかなさ
glottal,声門の
chafe,擦りむく
carafe,デカンタ
epochal,画期的な
tabby,しま模様の猫
debunk,暴く
ticklish,くすぐったがりの
blackmailer,恐喝者
usurer,高利貸し
blab,ペラペラしゃべる
advantageously,有利に
teeny,とても小さい
handyman,便利屋
unburden,重荷を下ろす
siesta,昼寝
worshipful,敬虔な
gringo,外国人（特に英語圏の人）
batten,太鼓ばり
eosinophil,好酸球
syncytial,多核の
proboscis,長い鼻
telegraphy,電信
pawnbroker,質屋
consulship,領事職
mousse,ムース（デザート）
sonority,響きの良さ
scarab,スカラベ（甲虫）
marquise,侯爵夫人
dislocate,脱臼させる
harmonica,ハーモニカ
spectrogram,スペクトログラム
revisionism,修正主義
stretcher,担架
winger,ウイング選手（スポーツ）
inoperable,手術不可能な
servility,卑屈さ
apposite,適切な
squish,押しつぶす音
colliery,炭鉱
spectrophotometer,分光光度計
pistil,雌しべ
interceptor,迎撃機
bespectacled,眼鏡をかけた
penury,極度の貧困
truant,怠学者
outflank,側面を取る
ghrelin,グレリン（ホルモン）
lipopolysaccharide,リポ多糖
laggard,遅れ者
swelling,腫れ
piggy,子豚のような
superintendence,監督
flamenco,フラメンコ（踊り）
gild,金箔を貼る
declension,格変化
dockyard,造船所
framing,枠組み
blockhead,ばか
snoop,詮索する
stickler,厳格な人
smithereens,粉々
nucleophile,求核試薬
streetlight,街灯
cuddly,抱きしめたくなる
wielder,使い手
shekel,シェケル（通貨）
topsail,トップセイル（帆）
cornet,コルネット（楽器）
gamekeeper,狩猟管理人
bluntness,鈍さ|率直さ
dereliction,怠慢
joiner,大工
seagull,カモメ
cloy,あきる
isolationism,孤立主義
juristic,法学の
worshiper,崇拝者
impermanent,一時的な
lineman,ラインマン（作業員）
requite,報いる
attributive,修飾語の
regicide,王殺し
indisposition,不調
jocular,冗談好きな
sonication,超音波処理
conjoint,結合した
rotunda,円形建物
spermatogenesis,精子形成
arcuate,弓形の
sleazy,だらしない
stylistically,文体的に
caisson,ケーソン（工法）
voluble,おしゃべりな
sounding,測深
lout,無作法な男
freeman,自由人
hibiscus,ハイビスカス
bender,酒盛り
purl,編み目の1種
automatism,自動動作
workweek,勤務週
trinket,小物
handcuff,手錠
undervalue,過小評価する
querulous,不平を言う
busybody,おせっかい
moult,脱皮する
imperialistic,帝国主義の
skater,スケート選手
sociodemographic,社会人口統計の
tramway,路面電車の線路
dermatologist,皮膚科医
ecclesiastic,教会の
mystification,当惑
indissoluble,解消できない
purveyor,供給者
milkshake,ミルクセーキ
romaine,ロメインレタス
superconductivity,超伝導性
celluloid,セルロイド
declivity,下り坂
madrigal,マドリガル（歌）
dustbin,ゴミ箱
ugh,うっ（嫌悪の声）
wight,人間
