numerous,多数の
medicine,医薬品
trend,傾向
labour,労働
ought,〜すべき
newspaper,新聞
capable,有能な
advice,助言
discipline,規律
vol,巻
finding,発見
assist,手伝う
careful,注意深い
visual,視覚の
obligation,義務
educational,教育の
arrive,到着する
aspect,側面
stomach,胃
carbon,炭素
weather,天気
specifically,具体的に
bow,おじぎ
differ,異なる
priest,司祭
smooth,滑らかな
embrace,抱きしめる
van,バン
regional,地域の
district,地区
flight,飛行
fat,脂肪
unknown,未知の
sick,病気の
outcome,結果
finance,財政
liquid,液体
mirror,鏡
resolution,解決
fluid,流体
examination,試験
parent,親
reflection,反射
crack,ひび割れ
darkness,暗さ
fault,欠点
secondary,二次の
commitment,約束
territory,領土
extreme,極端な
phrase,フレーズ
reward,報酬
sudden,突然の
extra,追加の
cluster,群れ
session,会議
reply,返事
software,ソフトウェア
participation,参加
plot,筋
widely,広く
sing,歌う
gentleman,紳士
distinct,明確な
stable,安定した
proof,証拠
defense,防御
leg,脚
gently,優しく
distinction,区別
visible,見える
dose,一服
sell,売る
wet,濡れた
poem,詩
fill,満たす
union,組合
functional,機能的な
milk,牛乳
incident,出来事
tension,緊張
commonly,一般に
hurry,急ぐ
exception,例外
collective,集団の
lift,持ち上げる
parallel,平行な
facilitate,促進する
communicate,伝える
rare,まれな
schedule,予定
honor,名誉
arrest,逮捕する
switch,切り替える
connect,つなぐ
bill,請求書
slight,わずかな
plain,平原
sacrifice,犠牲
candidate,候補者
rural,田舎の
stroke,発作
naturally,自然に
typical,典型的な
mid,中間の
traffic,交通
insight,洞察
immediate,即時の
pool,プール
marry,結婚する
snow,雪
preparation,準備
brand,ブランド
wealth,富
somewhere,どこか
estate,不動産
mix,混ぜる
trail,小道
apartment,アパート
crop,作物
primarily,主に
protest,抗議
blame,非難する
expense,費用
delivery,配達
cash,現金
twice,2回
tiny,とても小さい
reasonable,合理的な
diagnosis,診断
pale,青白い
storage,貯蔵
club,クラブ
considerable,かなりの
composition,構成
exhibit,展示する
minister,大臣
entrance,入口
principal,主要な
engine,エンジン
quantity,量
net,純粋な
mere,単なる
photo,写真
sugar,砂糖
minimum,最小の
awareness,認識
cat,猫
introduction,紹介
passion,情熱
customer,顧客
happiness,幸福
structural,構造の
peak,頂点
accident,事故
emphasis,強調
storm,嵐
camera,カメラ
consistent,一貫した
ease,容易さ
thy,あなたの（古語）
west,西
select,選ぶ
equally,同様に
won,勝った
dad,お父さん
shake,振る
building,建物
linear,線形の
perfectly,完璧に
transaction,取引
virtue,美徳
wonderful,素晴らしい
yard,庭
vast,広大な
movie,映画
subsequent,その後の
gesture,身振り
tomorrow,明日
spin,回転する
temple,寺院
meat,肉
cock,おんどり
defeat,敗北
grant,認める
mg,ミリグラム
odd,奇妙な
pace,歩調
era,時代
zero,ゼロ
landscape,風景
excellent,優れた
deserve,値する
enterprise,企業
evolution,進化
smart,賢い
quietly,静かに
apparently,どうやら
owe,借りがある
conference,会議
