handler	トレーナー|調教師
eds	イーディーエス
reproduce	を生殖させる|を複製する|を模写する|を再生する
computational	計算の
greenhouse	温室|温室効果の|温暖化の
dub	(あだ名･愛称)をつける|肩書きを与える|(国王がknightの爵位授与式で)～の肩をたたいてナイトの位を授ける|突く|ダビング(する)|(俗)不器用|へたくそ
decimal	10進法の|小数
waterproof	防水の|防水布|レーンコート|防水服
hug	抱擁|抱きしめる|凝(こ)っている
passive	消極的な|受動的な|活動的でない|無抵抗の|受動態の
reggae	レゲエ(西インド諸島起源のロック音楽)
sweater	セーター
wagon	乳母車|荷馬車|ワゴン
interpreter	通訳
formulation	公式化|公式表示
evident	明らかな|明かな
cousin	いとこ
sweat	汗水たらして働く|汗をかく|湿気をおびる|汗|湿気|(俗)ぞうさなく|簡単に(easily)
wipe	拭く|をふく|ぬぐう|ふき取る|一掃する|ふくこと
painter	画家|ペンキ屋|塗装工
cumulative	累積の|累積|次第に増加する
crane	ツル|鶴|クレーン
arbitrary	独断的な|任意の|気まぐれの|恣意的な|不定の
prominent	目立った|重要な|著名な|突出した|浮き彫りの
titanium	チタン
irs	国税庁
sediment	沈澱物|沈殿物|堆積物
superintendent	監督(指揮)する|監督者|最高責任者|監督･指揮する
recorder	レコーダー|録音機
occasional	時々の|予備の|ときおり|時折の|特別な場合のための|臨時用の
interference	さしさわり|衝突|妨害|障害|干渉|邪魔|混信
booklet	パンフレット|小冊子
citizenship	市民権
posting	登記|一束の郵便物|転記|任命|配属|登録されたもの|投稿
hedge	保険つなぎ|ヘッジ取引|行動を妨げる|生け垣(を作る)|垣根|境界|防御物
idle	遊んでいる|怠ける|怠惰な|仕事のない|何もしない|暇な
tragedy	悲劇|惨事|悲劇的物語|悲惨な出来事
flex	(関節など)曲げる|可撓(とう)線|電気コード|融通のきく|適応性ある
resin	(rézn)|(樹脂|脂|松脂|松ヤニ|(=rosin)
cascade	滝|滝のように落ちる|カスケード|波状レース飾り|(菊の)懸崖づくり|(電気)縦つなぎ
ramp	ランプ(高速道路出入口)|建物の連絡用傾斜路
explicitly	明示的|(反義語)implicitly
petite	(女性が)小柄な|小柄でこぎれいな|小柄で均整のとれた
trigger	誘発する|引き金|制動機|ばね止め|誘因|きっかけ
triumph	大勝利|勝利|大成功|功績|大業績|勝ち誇り|勝利をおさめる|成功する
relieve	を救う|を和らげる
informative	知識(情報)を与える|有益な
nil	ゼロ
scuba	スキューバ|水中自動呼吸機器
shepherd	シェパード(犬種)|羊飼い|牧師|の番をする|を指導する
utilization	利用
induction	就任式|帰納法|誘発
estimation	見積|評価|判断
dosage	投薬|調剤|1回分の投薬(服用)量|適量|添加香味料|用量決定
courage	勇気
yeast	酵母|イースト菌
halt	停止させる|ためらう|停止|休止|中断|停車場
batman	(映画)バットマン
chromosome	染色体
fleece	からだまし取る|巻き上げる|(一匹分の)羊毛
raven	ワタリガラス(不吉の兆しとされる)|(一般に)カラス属の各種(大ガラスなど)|略奪する
consistency	一貫性|一致|濃度|堅さ|粘り
hearing	審理|公聴会|聴力
efficiently	能率的に|効果的に
textbook	教科書
metallic	金属の|金属性の
crossword	クロスワードパズル
yarn	ほら話|糸|毛糸|編み糸|旅行者の話
caller	訪問者
dame	セクシーな女
peaceful	平和な|穏やかな|平和を好む|おとなしい
rib	あばら骨|肋骨|肉片
corridor	廊下
trophy	戦利品|賞品|戦勝記念品|トロフィー
supplemental	補足の
emerald	エメラルド
recognised	認識
sheriff	郡保安官
belle	舞踏会の花|美人
corrupt	堕落させる|堕落した|買収された|崩れた|汚れる
uh	ええと|huh(話がつかえた時など)
grape	ブドウ|深紫色
prix	グランプリ
astrology	占星術
hungry	空腹の|飢えている
bald	ありのままの|はげた|単調な|毛のない
insure	に保険をかける|保険に入る|保証する
talented	才能ある|才能のある|秀才|有能な
feather	羽
precisely	精密に|正確に|几帳面に
appoint	を任命する
emperor	天皇|皇帝
acne	にきび|座瘡
ballet	バレエ(団･曲)
drift	漂流する|押し流す|ドリフト|趣旨
apt	の傾向がある|しがちな|適切な|利発な|機敏な
widespread	行き渡った|広げた|広範囲に及ぶ|広く行きわたった|いっぱいに広げた(翼)|広まった
sapphire	サファイア|青玉(9月の誕生石)|サファイア色(の)
disappear	見えなくなる|うせる|消滅する
shrink	しりごみする|縮まる|減る|恐れる|避ける|(俗)精神科医
optimum	最適(の)|最高条件(の)
pasta	パスタ
handset	送受話器
alike	差別なく|同様に|一様に
cove	無闇に欲しがる|断崖の窪み
homeless	家のない
horrible	ひどくいやな|恐ろしい|身の毛もよだつ
insurer	保険者
drainage	排水
cement	セメント|つなぐもの|接着剤|絆|固める
collision	衝突
delegate	(仕事を)人に任せる|代理を立てる|委任する|代理人|代表|使節|代議員
smash	スマッシュ|粉々にする|強打する|強打|破壊|破産|バリッ|ガチャン|木が裂ける音
abide	がまんする|とどまる|待つ|従う|住む|規則を守る
gasoline	(米語)ガソリン
mud	泥|つまらぬもの
atmospheric	大気の
heath	ヒース(植物)|(ヒースのおい茂った)荒れ野
penetration	侵入|進出|広告効果|貫通|浸透|洞察力
ppm	百万分の1単位|parts per millionの頭文字|百万分率
mailbox	郵便ポスト
glue	を接着剤でつける|に集中する|にかわ|接着剤
bash	大打撃|強打する|いじめる|叩く
parental	親の|親にふさわしい
transmitter	送信器|送る人|伝達者|伝達装置|譲渡者|伝導物|送信機|送話器
publicity	公共性|公表|一般に知られていること|周知|評判|公開
cooker	料理用の|調理道具|調理用のくだもの
criterion	(pl|criteria)|規準|基準|(判断･批評の)標準|特徴
deadly	命にかかわるような|致命的な|執念深い|死んだような
restart	再開|を再始動する|～を再起動する
dumb	口のきけない|おしの|唖然とした|黙っている
momentum	はずみ|いきおい|(物理)運動量|契機|弾み|惰性
footnote	脚注|補足説明
picnic	ピクニック|戸外での食事|行楽の弁当|行楽|楽な仕事
vcr	ビデオデッキ
rouge	ルージュ|紅|頬紅|赤色の|口紅
keen	しみじみとした|鋭い|鋭敏な|熱心な
electro	電気受容器
jenny	紡績機|移動式起重機|ロバの雌
gossip	うわさ話をする|うわさばなし|陰口|悪口|噂
walnut	クルミ|クルミ材
cursor	位置表示機構|線を引いたガラス板|カーソル
tremendous	ものすごい|途方もない|途方もなく大きい|ばかでかい
convertible	変えられる|転換可能な
continuity	連続性
validity	有効期間|正当性|妥当性|有効性|効力|有効|合法性
trustee	受託会社|受託者|被信託人|管財人
psi	(第23ギリシア文字)プサイ|Ψ|ψ
swift	迅速な|迅速に|敏速な|非常に速い
postcard	郵便はがき
melody	メロディー|旋律|美しい音楽|音調
transparency	透明度|透明性
cathedral	大聖堂|司教座にある
copier	複写器|模倣者
softball	ソフトボール
scholar	学者|奨学生
brook	小川
diaper	おむつ|ひし形模様(のある布)
internationally	国際的に
geology	地質学|地質
torrent	ほとばしり|急流|激流|奔流|豪雨|土砂ぶり|連発
carpenter	船大工|大工|木工
vegetation	(集合的に)植物|植生|植物の発育|無為の生活
controversy	論争|討論
crow	からす|鳴く
hostel	簡易宿泊所|ホステル|宿泊所|合宿所
insulin	インスリン(糖尿病薬)
compute	算定する
mileage	総マイル数|マイル表示距離|マイル当たり料金|利益
specially	特に|特別に
pale	色を失った|青ざめる|青白い|(色に関して)薄い|迫力がない|薄くなる|見劣りする
ambient	周囲の|ぐるりを取り巻く
covenant	契約する|(二国間または多国間の)契約|盟約|誓約|約款
feat	偉業|功績|際だった行い|achievement|妙技|離れ業
xerox	コピー|ゼロックス|コピー
steak	ステーキ
being	生き物|存在|実在|生存|生命
plaque	額|飾り版|斑|歯垢|血小板|(金属･陶器の)飾り板|(記念の)銘板|ブローチ
cannon	大砲
reliance	依存|信頼
whisper	ささやく|内緒話(をする)|ざわめく|ささやき声|さわさわという音(をたてる)
simplify	単純化する|を単純にする
cone	円錐|円すい形|火山すい|松かさ|(アイスクリームの)コーン
elective	(米語)選挙で選ばれた|選択科目
infectious	うつりやすい
prostate	前立腺(の)
behave	ふるまう
bypass	迂回する|バイパス
explosive	爆発しやすい|爆発性の|爆発物
economist	経済学者
biblical	聖書の|聖書にある|聖書のような
conscious	自覚している|気付いている|慎重な|意識のある
substrate	基板|(生化学)基質(酵素の作用で化学反応を起こす物質)
nitrogen	窒素|元素記号N
saddle	課す|サドル|負わせる|鞍|に鞍をつける
referee	(特に決定･解決を)委託された人|調停者|審判|レフェリー
predator	食肉動物|略奪者|捕食者
auburn	赤褐色(の)
navigator	ナビゲーター|航海長|操縦者|海洋探検家
willow	ヤナギ|柳|やなぎば色
preschool	学齢前の|就学前の|幼稚園
widget	規格品|小型装置|部品
differently	異なって|異なるように
firewire	ファイヤーワイヤー(AV機器やコンピュータを接続する高速シリアルバス規格)
assay	含有量(率)を示す|試金(含有量の検査)する|評価する|検定する
garment	衣服の一品|衣服
musician	音楽家
override	覆す|無効にする
operative	働く|活動する|(法律が)効力のある|(薬が)ききめのある|有効な|職人|スパイ
fatty	脂肪質の|油っこい|脂肪性の|脂肪の|デブ
retrieval	取り返し|挽回|回復|修正|検索
sally	出撃する|突撃|小旅行|打って出る|反撃する
scary	おどろきやすい|恐ろしい|驚きやすい|臆病な
tendency	傾向|癖
terrain	(自然地理･軍事上から見た)地域|地勢|地形
charitable	慈悲深い
remainder	(算数)余り|残余|残留者|残り物|遺跡|継承権
opening	開いている|開始|始め|広場|穴|空き|開始の|すきま|開き
researcher	研究者
transplant	移植|移住|移住者|移植された植物|を移植する|移住させる|移住する
nominee	任命された人
safeguard	予防手段|防護手段(対策)|緊急輸入制限
prejudice	先入観|害|偏見|先入主|偏愛|ひがみ|損害|被害|迷惑
sperm	精子
pork	豚肉|(US俗語)援助金|職務|利権
violin	バイオリン|バイオリン奏者
emerge	現れる|台頭する
viral	ウイルスの|ウイルス起因の
gale	強風|疾風|突発
competency	有能さ|コンピテンシー
realtor	不動産業者
pedal	ペダル(の)|のペダルを踏む|足の
champagne	シャンパン酒
chassis	(人･動物の)胴体|シャーシ|車台
stationery	文房具|便箋
pediatric	小児科の
jade	ヒスイ|痩せ馬|疲れ果てさせる
redhead	赤毛の人|大学1年生
subset	部分集合
corpus	文章の収集|集成|死体
daisy	(植物)ヒナギク|すばらしい物(人)|ホモ
herb	草本|草|香料(薬用)植物|(俗)マリファナ
alot	たくさん
dependence	依存|従属
scrub	ごしごし洗う(こと)|ごしごし磨く(こと)|つまらぬ人|低木の雑木林
destiny	運命
unauthorized	許可されていない|権限のない|独断の
competent	有能な|合法的な
lazy	怠惰な|のろのろした|眠気を誘う
lick	打つ|負かす|全速力で進む|(舌で)なめる|なめること|一なめ分|(a lick)少し|少量
apparatus	装置|器具|機構|機関|組織
spine	脊椎|脊柱|背骨|針|とげ
contributor	寄付者
grateful	ありがたくおもう|感謝して|楽しい
gradually	ゆっくりと|だんだんと|徐々に
desirable	魅力がある|価値のある|望ましい|好ましい
journalist	ジャーナリスト|新聞記者
memorandum	備忘録|覚え書き|メモ|摘要|規約|定款
lend	貸す
pharmacist	薬剤師
mime	物まね師|パントマイム|真似る|パントマイムで演じる
polyester	ポリエステル|ポリエステル樹脂|ポリエステル繊維
afterwards	のちほど|後で|逐って|後程|後ほど|おって|あと|追って
webpage	Webページ
garlic	ニンニク
tooth	歯|(複数形はteeth)|(食物の)好み
interfere	利害が衝突する|相容れない|妨害する|邪魔する|仲裁する
advancement	傷心|進歩|促進
vineyard	ぶどう園|(特に高度の精神的な)仕事場
confront	に立ち向かう|直面させる|直面する|立ち向かう
marry	結婚する
sewer	下水道|下水管
bark	howl遠ぼえする|whineクンクンなく|yelp|yapキャンキャン吠える|growl怒って唸る|snarl歯をむき出して唸る)|樹皮
turnover	(商品などの)回転率|離職率|売り上げ
ozone	(化)オゾン|新鮮な空気
contour	等高線|輪郭|外形|外観
casa	(スペイン語)カーサ|家
bloody	血なまぐさい|ひどく
samba	サンバ
irrigation	潅がい|潅漑|洗浄
sexuality	性的要素|性別|性欲|性機能
arbitration	仲裁|調停
redistribute	再配分する|再分配する|分配し直す
retire	退職する|引退する
cologne	コロン|オーデコロン
inbox	受信トレイ
focal	焦点の
bibliographic	書誌の
distant	時間が隔たった|かすかな|遠い|離れた|敬遠した
hardwood	堅木|堅材
milestone	マイル標石|画期的事件
choir	聖歌隊|合唱団|chorus|合唱隊
bucket	バケツ
magical	魔法の|魔法の力による|不思議な|魅惑的な
swan	白鳥|きわだって美しい人|(俗)美人
manually	手動で
antigen	抗原
hydraulic	水力の|水圧の|油圧の
lance	切開する|槍
blah	不快な|憂鬱な|つまらない(こと)|blah-blah-blah などなど, かくかくしかじか|Blah! ちぇ!, くだらない!
peso	ペソ(通貨, 複数形pesos)
casualty	死傷者|戦争犠牲者|被害者
appellant	上訴人|控訴人
yearly	毎年の|例年の|年1度の|その年だけの|毎年|年1度
numeric	数|番号
manipulate	操作する|ごまかす
hollow	くぼんだ|中がからの|空の|うつろな|くぼみ|穴|中空の
writing	書く|執筆|筆跡|書くこと|書かれた物|書き方
characterization	特性づけ|性格描写
yen	円(日本の通貨単位)|熱望|あこがれ|切望する
usher	受付|(結婚式の)先導役|座席案内係|誘導する|案内する
mpg	miles per gallon 1ガロンあたりの走行マイル数
cork	コルク製品|コルク
enroll	登録する|名簿に記載する|会員にする|enrol
carb	炭水化物(carbohydrateの略)
rotary	回る
importantly	もったいぶって|重要で
moss	コケ|こけ|沼|コケで覆う
lecturer	講演者|講師
pretend	ふりをする|make believe
gage	質|抵当
empirical	経験的な|経験によって立証できる|経験主義の|実験に基づいた
discrete	個々の|分離した|別々の|別個の|不連続の
beginner	初心者
savage	野蛮人|無礼な|下品な(ラテン語silvaticus｢森の｣から)|獰猛な|未開の
cubic	3次方程式|立方体の
deaf	聞こうとしない|耳が聞こえない
beg	施しを請う|(熱心に)請う|頼む|懇願する|求める
kinase	キナーゼ|リン酸化酵素の一種
ritual	慣習の|儀式(の)|礼拝式|儀式的な行事
distortion	歪み|ゆがめること|歪曲
rig	艤装する装備する|談合する|八百長する|トレーラートラック|掘削装置
fuse	ヒューズ|信管|導火線|にヒューズを付ける|溶かす|溶ける|融合･連合する
crawford	クロフォード|クロフォード
historian	歴史家
vase	花瓶|壷|びん
holocaust	ホロコースト|ユダヤ人大虐殺
zombie	ゾンビ|zombi|ヘビ神|(俗)機械的動作をする人
reproductive	再生(再現)の|生殖の|多産の
sticky	ねばねばする|粘着性の|べとべとする|どろりとした|蒸し暑い
wade	苦労して進む|(ぬかるみ･雪道を)苦労して渡る
burke	締め殺す|(議案などを)握りつぶす|(うわさなどを)もみ消す
secretariat	書記|秘書室
shortage	数量の不足|不足|欠点
stool	丸椅子|腰掛け|足のせ台|2便器|大便(=excrement)
chevy	悩ます|煩わす|嫌がらせ|責めさいなむ|責める|いたぶる|責苛む|煩わせる|苛む|苦しめる
elimination	削除|除去|予選|排除|排泄|淘汰|消去
toss	を投げる|寝返りをうつ|を激しく動揺させる
jumper	跳躍する人|跳躍選手|跳びはねる虫(ノミ他)|障害馬|(ブラウスなどの上に着る)プルオーバー|作業用上着 (日本語のジャンパーはwindbreaker, jacket)
marijuana	マリファナ
adaptive	適用可能な
wheelchair	車いす
convergence	一点に集まること|収束|輻輳
phantom	幽霊|幻|幻影|幻像|人体模型|幻の|想像上の
humanitarian	人道主義者|人道主義の
nirvana	サンスクリットの仏教用語で|涅槃･解脱のこと
til	〜まで
colon	コロン(:)|植民農業者|大農園所有者|コロン(コスタリカなどの通貨単位)|結腸(盲腸・直腸をのぞいた大腸の大部分)
malpractice	背任行為|職務上の過失|医療過誤|不正治療
generous	気前の良い|気前のいい|豊富な
madness	狂気|熱中|熱狂
monk	修道僧|修道士|修道師
pony	ポニー|小型の馬
mama	おかあさん|ママ|母様
primitive	原始的な|原始人|原始の|昔の|太古の|最初の|初期の
cardiovascular	心臓血管の|心血管|心臓血管
cardiac	心臓(性)の|心臓病の(患者)|強心薬|心臓病の患者
salvation	救世(主)|救済|魂の救済|救済物|(罪からの)救い
jerk	急にぐいと引く|むだに時間をつぶす|バカ|愚か者|世間知らず(若い人が用いる)
elevator	エレベーター
umbrella	傘|雨傘
brutal	けものの|残忍な|野蛮な|無茶な
velvet	ベルベット製の|ビロード|ベルベット|ビロード状のもの|丸もうけ
selective	選択の|注意深く選ぶ
zinc	亜鉛|亜鉛でメッキをする
removable	移動できる
anthropology	人類学|人間学|文化人類学
kinda	いくぶん|ちょっと|(類似語sorta)
funky	悪臭のする|かびくさい|(ジャズ)ファンキーな
lotion	ローション|外用水薬|化粧水
suburban	偏狭な|郊外の
prosecution	起訴|告発|検察当局|遂行|実行|追求
clutch	を掴む|にしがみつく|把握|クラッチ|ピンチ
booster	昇圧器
banquet	晩餐会|宴会
widow	未亡人|余分の手札|未亡人になる
proudly	高慢に|威張って|堂々と|立派に
pix	写真|絵|(pic=picture)の複数形
mic	マイク
pulling	引いている
obesity	(医)肥満|肥満体
closet	密談させる|戸棚|人に知られていない|隠れた
fracture	骨折する|骨折|破砕する|割れ|砕け|破砕(する)|破る
hike	ハイキングをする|引き上げる|値上げする|increase|raise
cleanup	掃除|一掃|浄化運動|(俗)大もうけ|4番打者(の)
hepatitis	肝炎
maiden	少女|未婚の|初めての|処女
nationally	全国的に
tomato	トマト|女|娘
peptide	ペプチド|決まった順番で様々なアミノ酸がつながった分子
heal	なおす|治す|いやす|救う|いえる|治る|治癒する
imply	を(暗に)意味する|ほのめかす
unwrap	包装を解く
sic	(疑わしいまたは誤った文章を) 原文のまま引用
trauma	精神的外傷|精神的ショック|(日常生活に支障を生じるような)深い心の傷
surrender	降伏(する)|を放棄する|引き渡し|明渡し(する)|自首
impairment	(価値･美点･健康を)減じる|害する|そこなう|傷つける
bacterial	バクテリアの
continuously	連続して|引き続き
strawberry	イチゴ(色)
liaison	つなぎ|連結|連絡|連絡窓口|連絡係|密通
vine	つる|ぶどうの木|つる植物|つる草
substitution	置き換え|代用|代用品
painful	痛い|骨の折れる|苦しい|切ない
examiner	試験官
nowhere	どこにも～ない|どこにもない場所
residual	残余の|剰余の|残りの
lime	わなをかける|石灰|石灰をまく|ライム果|シナノキ|鳥もち
distress	苦しめる|苦痛|苦悩|困窮|遭難
lately	近ごろ|最近
vein	調子|静脈|血管|葉脈|木目|鉱脈|地下水脈|筋をつける
forgive	許す|借金を帳消しにする
dense	密集した|濃密な|深い|鈍い|濃厚な|緻密な|濃い
likewise	その上に|さらに|同様に
vibration	心の動揺|振動する(させる)こと|動揺|(米俗)感じ
introductory	紹介の
councillor	(UK英)評議員(=councilor)
viewpoint	見解|見える地点|観点
gum	ゴム糊で張付ける|ゴム|生ゴム|チューインガム|ゴムのり|歯肉|歯ぐき
likelihood	ありそうなこと|見込み|有望さ|有りそうな事
wc	水洗便所|water closet
circus	サーカス
denote	示す|表示する|のしるしである|意味する
disciplinary	訓練上の|規律上の
sympathy	同情|賛成|共感|共鳴
