madness,狂気
monopoly,独占
uptake,吸収
prevail,勝る
il,〜でない（接頭辞）
rental,賃貸
propagation,伝播
pat,軽くたたく
grim,厳しい
wander,さまよう
conductivity,導電性
inquire,尋ねる
learner,学習者
decomposition,分解
pathology,病理学
brass,真鍮
immortal,不死の
epic,叙事詩的な
timely,時宜を得た
procure,調達する
scaffold,足場
earthly,地上の
dough,生地
irony,皮肉
misfortune,不運
merge,合併する
violently,激しく
domination,支配
lounge,休憩室
serial,連続の
compose,作曲する
profitable,利益のある
transient,一時的な
strangely,奇妙に
occupational,職業の
annually,毎年
rose,バラ
excellence,優秀さ
procedural,手続きの
indifference,無関心
thereafter,その後
tangible,触れられる
tribunal,裁判所
genuinely,本当に
lobe,葉|裂片
sadly,悲しく
chairman,議長
rocket,ロケット
dictate,指示する
unaware,気づいていない
suppression,抑制
triple,3倍の
neatly,きちんと
automobile,自動車
homogeneous,均質の
debtor,債務者
irrelevant,無関係な
sidewalk,歩道
modelling,モデル化［=modeling］〈イギリス英語〉
potato,ジャガイモ
pub,居酒屋
pizza,ピザ
snack,軽食
shepherd,羊飼い
credibility,信頼性
dispersion,分散
nationality,国籍
livestock,家畜
bladder,膀胱
tattoo,刺青
fig,イチジク
recollection,記憶
lime,ライム
invasive,侵入的な
procession,行列
harness,利用する
predictive,予測の
activism,活動主義
cone,円錐
mediate,調停する
eyebrow,眉毛
simultaneous,同時の
empower,権限を与える
parliamentary,議会の
ecology,生態学
foe,敵
penny,ペニー（小銭）
implication,含意
ceramic,陶器の
disciplinary,規律の
uneasy,不安な
benchmark,基準
hardship,困難
infectious,感染性の
obstacle,障害
conductor,指揮者
pursuant,〜に従った
coconut,ココナッツ
sponsor,スポンサー
perfume,香水
inconsistent,一貫しない
textual,文章の
atmospheric,大気の
maiden,乙女の
disturb,妨げる
adversary,敵対者
scrub,こする
locus,場所
predictor,予測因子
deduction,推論
pasture,牧草地
exhaust,疲れさせる
arbitration,仲裁
capita,一人当たり
hind,後部の
sour,酸っぱい
phosphate,リン酸塩
contingency,偶発事態
lieutenant,中尉
defy,反抗する
protagonist,主人公
valuation,評価
guitar,ギター
saint,聖人
interpreter,通訳者
melancholy,憂鬱な
syllable,音節
caress,愛撫
anxiously,心配して
advocacy,支持
maneuver,操作
gleam,かすかな光
critic,批評家
dial,ダイヤル
whale,クジラ
vapor,蒸気
persecution,迫害
tutor,家庭教師
conquer,征服する
mediation,仲介
liquor,酒
collaborate,協力する
gloomy,陰気な
dome,ドーム
digit,数字
extremity,末端
null,無効の
counselor,助言者
restless,落ち着かない
taxation,課税
cemetery,墓地
resume,再開する
risky,危険な
limp,ぐったりした
systematically,体系的に
cascade,小滝
supposedly,おそらく
pipeline,パイプライン
slot,溝
yell,叫ぶ
evoke,呼び起こす
peek,こっそり見る
impatient,せっかちな
blonde,金髪の
umbrella,傘
ample,十分な
enthusiastic,熱心な
specially,特に
chatter,おしゃべり
dodge,かわす
outrage,激怒
suffice,十分である
vent,通気口
inverse,逆の
foremost,最も重要な
litigation,訴訟
socioeconomic,社会経済的な
incapable,無能な
disbelief,不信
potent,強力な
polar,極地の
airway,気道
contradictory,矛盾した
wedge,くさび
crest,頂上
descend,降りる
macro,巨視的な
biopsy,生体検査
imitation,模倣
ligand,配位子
optic,視覚の
oversee,監督する
imprisonment,投獄
certification,認証
jungle,ジャングル
niece,姪
puppy,子犬
drainage,排水
chorus,合唱
password,パスワード
battlefield,戦場
distract,気を散らす
cube,立方体
handkerchief,ハンカチ
freak,変わり者
cavalry,騎兵
bosom,胸
decoration,装飾
harbour,港
pupil,生徒
exquisite,非常に美しい
photon,光子
reconciliation,和解
gambling,賭博
subsidiary,子会社
squat,しゃがむ
latent,潜在的な
magistrate,裁判官
comparatively,比較的
mound,塚
wildly,激しく
vicious,悪意のある
turbine,タービン
embody,具現化する
precedent,先例
villa,別荘
thief,泥棒
trader,商人
sexually,性的に
broaden,広げる
mi,ミ（音階）
avoidance,回避
repay,返済する
embryo,胚
notwithstanding,それにもかかわらず
citation,引用
notation,記法
sociology,社会学
advisor,助言者
cane,杖
fringe,縁
rot,腐る
meadow,草地
epidemic,伝染病
additive,添加物
blond,金髪の
alright,よろしい
fade,色あせる
groom,花婿
tariff,関税
processor,処理装置
astonishment,驚き
driveway,車道
visualization,視覚化
motif,主題
transit,輸送
