afternoon	午後
pour	注ぐ|液体をつぐ|光を放射する|弾丸を浴びせる|殺到する
layout	並べること|広げること|割り付け
poverty	貧乏|貧困|不足|欠乏|欠如|貧弱
receipt	受け取ること|レシート|受領|領収書|収益|受領書
establishment	設立|体制|でき上がったもの
tight	(関係などが)密接な|親密な|引き締った|堅い|水の漏れない|ぴんと張った|ぴったりした
conversation	話し合い|会話|社交|交際|社交性|座談
warehouse	を倉庫に入れる|を保税倉庫に預ける|商品保管所|卸売り店|問屋|倉庫|大商店
experimental	実験の|経験の|哲学の
rat	スト破り|裏切者|密告者|ノネズミ|ドブネズミ(mouseハツカネズミより大きい)
mechanical	機械的な|機械の|メカニズム
earnings	所得|利益|稼ぎ|生活力|儲け
cooperation	協力
slip	滑る|こっそり動く|はずれる|滑ること|ちょっとした間違い|細長い一片|伝票|挿し木
collaboration	共同研究|共著|(占領国･敵国などへの)協力
suffer	(いやなこと)を経験する|受ける|苦しむ
interpretation	解釈|通訳
jay	カケス|おしゃべり屋|まぬけ|マリファナたばこ
knife	ナイフ|小刀|ナイフで刺す
formation	形成|編隊|～物|～体
pioneer	開発者|開拓者|先駆者|パイオニア|を開拓する|先駆者となる
toe	足指|あし指|つま先|蹄鉄の前部|先端
determination	決心|決定|判定
cafe	喫茶店
mineral	鉱物|鉱物の|無機物の|鉱物性の物質|無機化合物
suspect	ではないかと疑う(suppose)|(人･もの)を疑う|容疑者|疑わしいもの
concrete	コンクリート|凝結物|具象的な
diversity	相違|多様性|多様化
blogger	ブロガー|ブログを運営する人
discipline	訓練する|規律|訓練
pension	年金|に年金を与える
adjustment	修正
hairy	毛むくじゃらの|毛深い|毛製の
captain	キャプテン|船長
highlight	最も明るい部分|ハイライト|最も興味ある･重要な部分|呼び物|強調する|きわだたせる
foster	養い育てる|育てる|助成する|育成する|よび起こす|心にいだく
mask	マスク|仮面をかぶる|仮面|覆い隠すもの|仮面で覆う|隠す
knight	騎士
conservative	保守的な(派･党の)|伝統的な
drill	ドリル|錐(きり)|ドリル(西アフリカ産のヒヒ)
accessibility	接近可能性
connector	連結者|コネクタ
sensitive	敏感な|感じやすい|敏感に反応する|神経過敏の|感性豊かな
spray	スプレーする|吹き掛ける|葉や花が付いた小枝
rob	盗む|強奪する|強盗をする|非難|叱責
fiber	繊維(質･組織)|素質|気質|ひげ根(植物)
penis	男性性器|ペニス
massage	マッサージ|あんま|按摩術|もみ治療
adoption	採用|養子縁組
technique	方法|技術|技巧
orgy	乱飲乱舞の酒宴|馬鹿騒ぎ|乱交パーティ
prison	刑務所|監獄|拘置所|監禁|禁固|幽閉
swing	揺れる(こと)|向きを変える|揺らす|動かす|回転|ぶらんこ|(野球)スイング(バットを振ること)
charity	慈善|思いやり
grey	灰色になる|灰色の
leg	足
dispute	議論|に異議をさしはさむ|論争する|反抗する|抵抗する|(言い)争う
bold	ずうずうしい|大胆な|勇敢な|ずぶとい|奇抜な|顕著な|厚かましい
bomb	爆撃する|爆弾
grace	優雅|飾る|猶予(期間)
specification	明細書|仕様|詳説|詳述|明細事項|仕様書
thin	乏しい|か細い|弱々しい|を細くする|を薄める|細くなる|薄い|やせている|まばらな|希薄な
garage	ガレージ|車庫
accessible	近づきやすい|接近し易い
accessory	アクセサリー|部品|付属物|装身具|補助的な|付属的な
resident	居住する|居住者
quiz	に質問する|簡単な試験|質問する|クイズ|質問(する)
possibly	あるいは|ことによると|たぶん|どうにかして|出来る限り
composition	構成|創作|作文
typically	典型的に
consumption	消費
neck	頚状部|首|えり|いちゃつく
busy	いそがしい
franchise	フランチャイズ|特権|参政権|選挙権|公民権|会員権
duration	持続|持続期間|所要時間
ownership	所有権|所有
cute	かわいい
relax	規律を寛大にする|くつろがせえる|をゆるめる|の力を抜く|努力を控える|くつろぐ
found	を設立する|findの過去･過去分詞形
recover	回復する|取り戻す
collector	光捕集器|収集家|集金人
consultant	コンサルタント|顧問|相談役
lion	ライオン|名物男|人気者|勇敢な人
desert	砂漠|不毛の地|捨てる|放棄する|逃亡する|見捨てる|相応の報い|罰
routine	決まりきった仕事|日課|機械的なやり方|ルーチン
lounge	ぶらぶらと時を過ごす|ぐったり横になる|ぶらぶらと歩く|長椅子|休憩所|談話室|ラウンジ
reveal	を明らかにする|知らせる|示す
escort	護衛する|護衛|付き添う
legislative	立法権のある|立法の|立法機関(の)
gang	囚人などの群れ|悪漢などの一団|遊び友達
judgment	判断
achievement	達成|業績
temple	こめかみ|神殿|神殿･寺院|教会|殿堂
para	前に|…を経て|の意味|落下傘部隊の兵士|経産婦|ブラジルの地名 他
bio	バイオ
molecular	(化)分子の
invite	を招待する
pharmaceutical	製薬の|薬剤の|薬
seeker	探求者
facilitate	容易にする|促進する|楽にする
buffalo	野牛|水牛 2|(B-)バッファロー市(ニューヨーク州)
stereo	ステレオの|ステレオ(録音)方式|固定観念|立体写真
sustainable	支えられる|持続可能な
statistical	統計的な|統計(上)の|統計学の
bankruptcy	倒産
bulk	大部分|ばら荷|大半|大きいかさ|巨大な量
pipeline	パイプライン|流通ルート
commentary	注釈書|注釈|注解書
comply	(希望･要求などに)従う|応じる
generator	発電機
humor	ユーモア|こっけい|機嫌|気性|の機嫌を取る|うまく合わせる
severe	厳しい|厳格な|能力(努力)を要する|きびしい|危険な
von	の|からの
mate	仲間|友達|連れ合い|片方|番わせる
voltage	電圧
lesson	授業|教訓(lessenは別語)
asset	価値のあるもの|財産|利点|有用な|遺産|長所|資産の一項目
ag	(ドイツ語)株式会社
ground	地面
guardian	保護者|守護者|監視者|後見人
tan	なめす|皮をなめす|皮膚を日焼けさせる|タンニン|黄褐色
semester	(米国･ドイツなどの1年2学期制の)学期
stainless	ステンレス|奇麗な
coordinator	コーディネーター
deluxe	デラックスな|豪華な
victory	勝利|克服|征服|(古ローマ)勝利の女神
brochure	(営業用)パンフレット|小冊子
tablet	平板|書き板|錠剤
projector	映写機|投写機|企画者
successfully	首尾よく|まんまと|具合よく|幸運にも
bend	に取り組む|屈伏する|たわむ|曲げる|向ける|曲がり|屈曲|カーブ
pursuant	に従う|準拠する|応じる
valuable	貴重な
recruitment	募集|採用
primarily	主として|第一に|最初に
recommendation	推薦(状)
rubber	ゴムタイヤ|天性ゴム|弾性ゴム|紙やすり
robot	ロボット
slut	だらしのない女|身持ちの悪い女
amp	増幅器|アンプ|(ampere電流の単位|の略)
cheese	チーズ|(俗)目的|報酬|お金|魅力のある若い女
python	パイソン|大蛇|ニシキヘビ
quiet	静かな
expensive	高価な
terrorist	テロリスト(の)
diagnosis	診断
expertise	専門的技術|専門知識|専門的な意見
survive	生き残る|より長生きする|を越えて生き延びる
horror	恐ろしさ|恐怖|憎悪|嫌悪|ホラー映画
detection	看破|探知|発見|発覚|検出
vibrator	振動するもの|バイブレータ|振動機|振動子|振動表示器
pot	壷|はち|びん|植木鉢|壷に入れる|猟をする|撃つ|(俗)マリファナ
rescue	救う|救出|救済|不法釈放
optimization	最適化
jewellery	宝石類
welfare	福祉|厚生|幸福|社会事業|福祉補助を受けている
eventually	結局のところ
transform	変える|を変形する
innovative	革新的な
