whit	ほんの少し|微少
perseverance	忍耐|根気強さ
overpayment	払い過ぎ
pharmacological	薬理学(薬物学)の
genitals	外性器|性器|生殖器
adversity	不幸|逆境|困窮|不幸なできごと|災難
telemedicine	遠隔治療
curfew	夜間外出禁止令|門限
rook	不当な代金をとる|ぺてん師|ミヤマガラス
academically	学究的に
conqueror	征服者
retardant	緩速剤(化学反応速度を減じる物質)|遅らせる
buildup	(兵力･体力･産業)増強|強化|(資材)蓄積|(物語)盛りあがり|交通渋滞
chiffon	シフォン|絹モスリン|婦人服の飾りレース
agreeable	好ましい|矛盾のない
armory	兵器工場
blackmail	脅迫|恐喝|ゆすり|武力による脅し
borrowing	借金|借りること|借用語
palazzo	豪壮な公建築物(個人邸宅)|宮殿|殿堂
figurative	比喩的な(=metaphorical)
checkbook	小切手帳
biophysics	生物物理学(生物の構造や作用を物理学的道範研究する生物学の一部門)
chromatin	染色質(細胞核にある染色しやすい物質)
sulfide	硫化物
wasteland	荒れ地|不毛の地
panzer	(ドイツ軍の)装甲車|戦車
mezzanine	中二階|中二階さじき席|中2階
toot	警笛を鳴らす|(ラッパを)吹く|飲み騒ぐこと|(俗)コカイン(の吸入)
chronologically	年代順に
indemnification	賠償(金)|補償(金)|保証|弁償|免責
mmol	ミリモル(=millimole)|濃度を表す方式|溶液1L中の溶質をモル数を使って表した単位が1mol/Lで|その10(-3乗)mol=1mmol
axon	(解剖)軸索(アキソン)|軸索突起(神経細胞から伸びた突起|細胞本体から神経衝動を伝える)
vendetta	復讐|長期にわたる不和|抗争|かたき討ち
wherefore	それ故に
unpopular	人気のない|不評判の|はやらない
apportionment	分配|配当|下院議員数(連邦税)の州割当て
lifeguard	監視員|救護員|護衛(者)|親衛隊|水泳場の看視員|排障器|lifeguardとして勤める|の生命を守る
sneaky	卑劣な|卑怯な
undiscovered	未発見
coda	コーダ|(楽曲･楽章)終結部
synthetase	合成酵素
spatially	空間的に
detract	(評判･価値など)を減らす|落す|悪く言う|減ずる
delft	デルフト焼き|スズ釉の彩色陶器|白地に青の模様のものが多い
pram	(主に英･口語で)乳母車(=stroller)|PRAM（パラメータRAM|Apple社のMacシリーズ内蔵の半導体メモリ)
marginally	わずかに|限界的に
prostaglandin	プロスタグランジンは|プロスタン酸骨格をもつ一群の生理活性物質|強い生理活性を持つ
communicative	話し好きな
grunge	不潔なもの、汚いもの|（ファッションで）グランジ (わざと汚れた感じにする); グランジロック (わざと汚い格好で演奏する：シアトル発祥・音も汚いです：Nirvana、Pearl Jamなどが代表)
chastity	純潔|貞節|上品|簡素
curio	骨董品(=antique)
sheepskin	羊皮(の服)|羊皮紙|卒業証書
unify	統一する|一様にする
obnoxious	嫌いな|いやな
diligently	勤勉に|念入りに
throwback	時代遅れ
glam	(=glamour)魅力的な|グラマーな
marvellous	驚くべき|不思議な|素晴らしい|驚嘆すべき
groin	(解剖学)鼠蹊(そけい)|腿の付け根
financier	財政家|財務官
reinvent	改革する
sideshow	小事件|余興
illogical	非論理的な|不合理な
stinger	刺す動物･植物|(動物の)針|とげ|(植物の)刺毛|痛撃|皮肉
minimalist	(政治権力･目標を)最小限に抑えようとする人
esquire	人にesquireの敬称を使う|殿|様|同伴する男
pacemaker	歩調調整者|脈拍調整器
orbiter	オービター|巡回するもの|人工衛星
lodging	に下宿する|宿泊|下宿屋
elucidate	明らかにする|はっきりさせる|解明する|説明する
carburetor	気化器(エンジンの)
cartography	地図製作[法]
zeitgeist	時代精神|時代思潮
nickelodeon	セント映画|セント劇場(nickel=5cent)
shaggy	毛深い|毛むくらじゃの|むさくるしい|毛羽立った
incompetence	無能
mishap	不幸|不運|災難|不運な事故
midsize	中型の
colossus	巨像|巨大な物|巨人
opera	オペラ|歌劇
precipitate	を早める|促進する|を沈殿させる|沈澱物
slag	鉱滓(こうさい|鉱石から金属を除いたかす)|スラグ|かなくそ|けなす|淫乱な女
beastie	小動物
yucca	イトラン(植物)
metamorphosis	変身|変形|著しい変化|変態|変性
swain	求婚者|愛人
obstructive	じゃまな|閉塞性の
tentatively	暫定的に
retroactive	効力がさかのぼって|遡及効果のある|過去に遡る
alkali	アルカリとは|水に溶解して塩基性(水素イオン指数(pHが7より大きい)を示し|酸と中和する物質の総称
atherosclerosis	アテローム性動脈硬化(症)
casually	何気なく|偶然|思いがけなく
demography	人口統計学
outcast	見捨てられた|追放された者
frat	男子生徒|男子学生の社交クラブ(fraternityに由来)
lanai	ベランダ
sprocket	鎖歯車の歯|=sprocket wheel
divulge	漏らす|明かす|公表する|暴露する
arcane	不可解な|少数の人だけが理解できる|神秘的な
impractical	実際的でない|非実用的な
decentralization	集中排除|(中央)集権排除|分権化|中央分散
tropicana	トロピカーナ|熱帯の
combustible	燃えやすい|可燃性の|可燃性
quicksilver	水銀 (=mercury|hydrargyrum|Hg)
effortlessly	楽々と
gargoyle	ガーゴイル|樋嘴(ひはし:ゴシック式の教会の屋根などにある怪獣の形をした雨水の落とし口)|奇妙な形の彫像|(建物付属の)怪人像
primetime	ゴールデンアワー
councilor	議員|評議員(UK英=councillor)
malignancy	悪性腫瘍
iridium	イリジウム(金属元素|元素記号Ir)
topper	topするもの|上積み|上層|上部のもの|短いオーバー|シルクハット|高いバウンドのゴロ|いい奴|優れたもの|傑作|ピックアップ･トラックの荷台の上に取り付ける
deferral	延期|繰延べ|据え置き|徴兵猶予
informally	非公式に
sarcastic	皮肉な|皮肉の|当てこすりの|皮肉|あてこすり
isoform	アイソフォーム|イソ型|機能が類似しているがアミノ酸配列の異なる蛋白質
chimpanzee	チンパンジー
verso	(本の)左ページ
disinfectant	殺菌剤|消毒剤
swab	ぞうきんぼうき|掃除する|モップでふく|消毒綿で手当てする
whirlwind	つむじ風|旋風|嵐|めまぐるしさ|激烈さ|性急な
sluggish	鈍い|不振の|不活発な|怠惰な|緩やかな|停滞した
molar	分子の|Molar concentration(モル濃度)|濃度の表示形式(1L中の溶質をモル数で表したもの|単位はmol/L) 2|臼歯(の)|かみ砕く
lorry	貨物自動車|トラック|トロッコ
mainstay	メインマストを支える綱|大黒柱
sherpa	シェルパ(山の案内人|荷の運搬人)|国際会議の裏方を務める官僚
tuff	凝灰岩|すごい|抜群の
sorghum	やけに感傷的なもの|サトウモロコシ(のシロップ)
dietitian	栄養士|栄養学者|食事療法士
phony	偽の|まやかし(の)|いんちき(の)|偽物|ぺてん師
baseman	(野球)～塁手
counteract	の影響を弱める|妨げる
amorphous	一定の形を持たない|不定形の|まとまりのない
hickey	にきび|あざ|キスマーク(和製英語)|継ぎ手|あれ|例のやつ
swag	みやげ品|花飾り|貴重品|盗品|密輸品|だらりと垂れる|沈む|ゆすぶる
touchstone	基準|試金石
sunroof	(自動車の)日よけ屋根
shameful	恥ずべき|下品な
breakage	破損
dystrophy	栄養失調|異栄養(症)|ジストロフィー
archaic	古風な|すたれた|古風の
deafness	難聴
hypocrite	(hípəkrìt)偽善者|猫かぶり
syphilis	梅毒
brisk	活発な|元気のよい|小気味のよい|爽快な
vigilance	警戒|用心|不眠症|不寝番
appalling	ぞっとするような|すさまじい|(口)ひどい|あきれるほどの|はなはだしい
wad	詰め物(をする)|を丸める|小さい塊|固まり|束|札束
chum	親友|仲良し|仲間|同室者
layman	信徒でない人|専門家でない人|素人|門外漢
lass	若い女|少女|恋人
bitterness	にがさ
storybook	童話の本
opiate	アヘン剤|鎮痛剤|麻酔剤
brill	ヨーロッパ産のヒラメ
bosom	胸|内部|胸部|胸中|胸裏ふところ
lovingly	かわいがって|愛情をこめて|優しく
onslaught	突撃|猛攻撃
bribery	贈収賄|汚職
emusic	イーミュージック|ネット音楽配信
drizzle	小雨が降る|霧雨が降る|霧雨
untested	テストされていない
mockingbird	マネシツグミ(北米南部産)
jot	簡潔に書き留める|書き留める|メモする
nutmeg	ナツメグ(香辛料)|ニクズク(の木･種子)
gauss	ガウス(磁力の強さのcgs単位)
precautionary	予防の|用心のための
