book,本
speak,話す
put,置く
play,遊ぶ|演奏する|劇
mind,心|気にする
important,重要な
model,模型|モデル|模範
problem,問題
often,しばしば
law,法律
though,〜だけれども
door,ドア
fact,事実
leave,去る|残す
himself,彼自身
information,情報
effect,効果|影響
support,支える|支持
tell,言う
cause,原因|引き起こす
control,制御する|管理
line,線|列
second,2番目の|秒
moment,瞬間
until,〜まで
since,〜以来|〜なので
year,年
young,若い
area,地域|分野
feel,感じる
include,含む
talk,話す
return,戻る|返す
heart,心臓|心
night,夜
approach,近づく|取り組み
fall,落ちる|秋
friend,友達
force,力|強制する
course,講座|進路|コース
next,次の
school,学校
call,呼ぶ|電話をかける
really,本当に
idea,アイデア|考え
already,すでに
plan,計画
believe,信じる
de,反対の（接頭辞）|取り除く（接頭辞）
reason,理由
report,報告|レポート
step,段階|踏む
care,気をつける|世話
once,一度|かつて
create,創造する
enough,十分な
turn,回る|順番
allow,許す
thing,物|こと
individual,個人|個々の
why,なぜ
public,公共の|公の
development,発展|開発
smile,笑う|笑顔
type,型|種類|タイプする
service,サービス|奉仕
together,一緒に
kind,種類|親切な
view,眺め|見方
read,読む
woman,女性
nothing,何も〜ない
voice,声
practice,練習する|実践
mother,母
sense,感覚|意味
ever,今までに|かつて
stop,止まる|やめる
research,研究
rather,むしろ|かなり
answer,答え|答える
able,できる
father,父
possible,可能な
yet,まだ|しかし
among,〜の間に
method,方法
lead,導く|鉛
government,政府
function,機能|働く
action,行動
business,ビジネス|事業
ask,尋ねる|頼む
political,政治の
anything,何でも|何も
hard,難しい|固い|熱心に
test,テスト|試験
activity,活動
across,〜を横切って
hold,持つ|開催する
note,メモ|注意する
rate,率|評価する
cell,細胞|小部屋|携帯電話
along,〜に沿って|一緒に
however,しかしながら|どんなに〜でも
sure,確信している|もちろん
break,壊す|休憩
story,物語|話
share,共有する|分け前
position,位置|立場|職
city,都市
company,会社|仲間
almost,ほとんど
self,自己
age,年齢|時代
land,土地|着陸する
relationship,関係|交際
girl,少女
sound,音|聞こえる
act,行動する|演じる
meet,会う
behind,後ろに
start,始める
analysis,分析
whether,〜かどうか
focus,焦点|集中する
whole,全体の
several,いくつかの
clear,明確な|片付ける
white,白い
design,設計する|デザイン
full,いっぱいの|完全な
community,共同体|地域社会
risk,危険|リスク
party,政党|パーティー|一団
death,死
policy,政策|方針
structure,構造|建造物
role,役割
above,〜の上に|上記の
pay,支払う|給料
space,空間|宇宙
hope,希望する
market,市場
front,前面|正面
material,材料|物質
child,子ども
watch,見る|腕時計
either,どちらか|〜もまた
general,一般の|将軍
language,言語
big,大きい
account,口座|説明|考慮
field,分野|畑
past,過去の|過ぎた
cost,費用|犠牲
free,自由な|無料の
class,授業|階級
real,本当の|現実の
half,半分
bring,持ってくる
subject,主題|科目|対象
short,短い|不足した
image,画像|印象
black,黒い
hear,聞く
bear,耐える|クマ
strong,強い
word,単語|言葉
drive,運転する|駆り立てる
common,共通の|一般的な
period,期間|時代|句読点
food,食べ物
history,歴史
measure,測る|手段
energy,エネルギー
rest,休息|残り
knowledge,知識
true,本当の
certain,確かな|ある〜
die,死ぬ
nature,自然|本質
money,お金
remain,残る|〜のままでいる
rise,上がる
air,空気|放送する
decision,決定
deep,深い
explain,説明する
table,テーブル|表
product,製品|成果
local,地元の
soon,すぐに
learn,学ぶ
particular,特定の|特に
health,健康
future,未来
themselves,彼ら自身
itself,それ自身
follow,従う|続く
