intrigue	の興味をそそる|陰謀(を企てる)
haven	(避難)港|停泊所|安息所|避難所
insulation	絶縁体|絶縁|絶縁材
incidental	ありがちな
kindergarten	幼稚園
comrade	同僚|仲間
animate	活気づける|生命を吹き込む|励ます|活動させる
sinner	罪人|罪を犯した人
transcendental	人知の及ばない|超越的な|超自然的な|すぐれた|形而上の|先験的な
trek	(長く苦しい)旅をする|小旅行|(特に難儀な)旅行
scanner	走査装置
transcendent	並みはずれた|卓絶した|抜群の|超越的な
fray	論争|口論|乱闘|(神経)をすり減らす
serene	静穏な|晴れた|穏やかな|落ち着いた
hometown	故郷の町|現在住んでいる町
austerity	緊縮財政|厳しさ|耐乏|緊縮|質素
justly	当然のことながら|正しく
retailer	小売業者
latency	待ち時間
fabulous	架空の|信じられないような
transporter	運送者
jug	水入れ
negate	(事実･真実)を否定する|を打ち消す
quantification	定量化
enlargement	拡大|拡張|増補|引伸し|詳述
obsolete	すたれた|廃れた|時代遅れの
experimentally	実験的に
inefficient	役に立たない
fulfilment	充足感|達成感|実現(主に英|頻度低)
mucosa	粘膜
affiliate	加盟する|提携させる|交際する|関係団体|会員
instantaneous	即座の|瞬間の
pawn	担保|質(に入れる)|を賭ける|を賭けて誓う|人質(=hostage, pledge, captive)
jurisprudence	法律学|法理学
interdependence	相互依存
seafood	シーフードの|海産食品|魚介
ancestry	(集合的)祖先|家系|家柄
leftover	残り物|残り(物)|残飯|残りの
brutality	横暴さ
motherhood	母であること|母性(愛)
casino	カジノ(演芸･ダンスなどを行なう賭博場)
trophy	戦利品|賞品|戦勝記念品|トロフィー
ostensibly	表向きは|うわべは
guideline	指針
ant	アリ|蟻
tacit	暗黙の|潜在的な|無言の|言葉に表さない
outdoors	戸外で|戸外|片田舎
urgently	緊急に|至急
poker	突く人(物)|火かき|焼き絵用具|(トランプ)ポーカー
exponent	解説者|指数|説明者|解釈者
sweetly	優しく|甘く
sanitation	公衆衛生|衛生設備|下水設備
academia	学界
unreliable	信頼できない|頼みにならない
porcelain	磁器製の|磁器|磁器製品
bakery	パン焼室|パン焼き場|製パン所|パン屋|ケーキ
dogma	独断的な考え|ドグマ|独断
guise	ふり|見せかけ|服装|変装
neutralize	中立化する|中和する
emblem	象徴|記章|シンボルマーク(和製英語)
thither	そこへ|あそこへ
unmarried	結婚していない|独身の
choke	窒息する|を絞殺する|窒息させる|の息の根を止める|の成長を阻止する|閉塞|チョーク
falsehood	うそ
funnel	じょうご|煙突|集中する|流し込む|を送る
existent	存在する|実在する|現存する|生きている;現在の
culprit	犯人|被告|容疑者
generously	寛大に|気前よく|広い心で|豊富に
expulsion	排除|除名|追放
eloquent	雄弁な
vacancy	空き地|空き部屋|すきま|放心|放心状態|空虚
canine	犬の(ような)|イヌ科
uterus	子宮|母胎
arid	乾燥した|不毛の|異常に乾燥した
pedal	ペダル(の)|のペダルを踏む|足の
gin	ジン|大麦|ライ麦|ジャガイモなどを原料とした蒸留酒|綿織り機|綿繰り機
unmistakable	まちがいない|間違えようのない|疑う余地のない
brood	ひとかえりのひな鳥|(動物の)ひと腹の子|思案する|くよくよ考える　3|(雲|暗闇などが)たれこめる|おおう
conjure	魔法で呼び出す
boxer	ボクサー犬|ボクサー
facet	(心･問題などの)面|様相|(多面体･特に宝石の)小面|彫面|切子面|刻面
sac	袋|嚢
creamy	クリームのような|クリーム色の
whim	気まぐれ|気まぐれな思いつき|巻き上げ機
syringe	注入する|注射器(=injector)
dispel	追い散らす|追払う|払い去る|晴らす
genealogy	系図(学)|家系|血筋|系統|系譜|血統|系統学
midwife	助産婦|産婆
atrophy	衰退|(栄養不足などによる)萎縮症|委縮する
paradoxical	逆説的な|矛盾した
concomitant	付随物|付随する|両立する
bartender	バーテン(=barman|UK英)|(bar+tender(世話人))
longevity	(lɑndʒévəṭi)長生き|長寿|生命|寿命
opium	麻薬|アヘン
nostalgia	郷愁|ノスタルジア|懐古の情
loot	略奪する|不正利益を得る
mushroom	マッシュルーム|キノコ|成長の速い|成上り者
temperate	穏やかな|節度のある|度を過ごさない|節酒の
crusade	改革に加わる|撲滅運動|十字軍|改革運動
terrific	恐ろしい|大変な|ひどい|すごい
disapproval	反対意見|非難|不可とすること|不賛成|不承認|不満
redress	弊害を除く|直す|不正を償う|改善|ただすこと
influenza	インフルエンザ
slay	殺害する|を殺す|を圧倒する
reshape	再形成する
gratification	満足|満足させる|満足感|満足させるもの
quaint	古風で趣のある|風変わりでおもしろい|精巧な
idol	偶像|神像|教神|謝った概念|まぼろし
homage	忠誠の誓い|敬意|忠誠|主従関係|臣従の誓い
bulge	ふくらませる|膨らむ|ふくらみ|ふくらむ|出っ張る
modesty	しとやかさ|控え目|謙遜|適度
donate	寄付(寄贈)する
anyhow	なんとしてでも|いずれにせよ
ferocious	ひどい|恐ろしい|獰(どう)猛な|凶暴な|猛烈な|残忍な
lame	足が不自由の|(仏語)キラキラした金糸を織り込んだ布
watershed	(社会的に大きな)転換点|重大な転換点|分水界|流域
dimly	かすかに|ぼんやり|ぼんやりと|薄暗く
responsiveness	反応性
reset	リセットする
shrewd	抜け目のない|鋭敏な|利口な
richly	十分に
curling	カーリング(スポーツ)
mechanically	機械で|無意識的に
caregiver	介護者
shameful	恥ずべき|下品な
configure	作る|構成する
floral	花の
plasticity	可塑性|柔軟性
connective	(文法)連結詞
burrow	に穴を掘る|(うさぎの)穴|潜伏する
hourly	1時間ごとの|たびたびの
exploratory	探検の|踏査の|詮索好きな
roommate	ルームメート|同室者
merciful	慈悲ぶかい|情け深い|慈悲深い|安堵を与える
taxonomy	分類学
hydrophobic	疎水性の
consul	領事
conjugate	接合する|結合した|(文法)動詞を活用(変化)させる
snapshot	スナップ写真
transfusion	注入|輸液
flask	フラスコ|鋳型
paternal	父親らしい|温情主義|干渉政治|家父長的態度
tuition	授業料
advisable	当を得た|賢明な|望ましい|勧めて然るべき
intolerable	耐えられない|過度の
ravine	峡谷|山峡|渓谷
