variety	多様性|変化|多種|変化に富むこと|相違|種類
decrease	減る|減らす|減少|(反)increase
sex	性の|性的な|男女の|性別|(集合的)男性|女性
hurt	を傷つける
version	バージョン|見解|意見|説明|変形|異形|翻訳|訳文|訳書
useful	役立つ|有用な
correct	訂正する|正しい
protection	保護
vary	変わる|さまざまである|(形･性質など)を変える
neck	頚状部|首|えり|いちゃつく
historical	史実に基づく|歴史の|史学の|歴史上の|歴史に基づく
track	轍|小道|競技場のトラック|鉄道路線|CDなどの録音の単位|(一周できるものに使う)
secret	秘密の|機密|内緒の(事)
marriage	結婚(生活)|結婚式|(密接な)結合
definition	定義
hospital	病院
error	誤り
construction	建築様式|建造|建築|構成|(文法)構文|解釈|説明
afraid	心配して|怖がって
gas	ガスを供給する|むだ話|気体|ガス|= petrol|屁
reader	読者|朗読者|読書家|読本|講師|助手
factor	要素|仲買人|因子|要因|原因
farm	農場
sector	産業部門|セクタ|部門
hide	秘密にする|隠す|隠れる|皮
objective	客観的な|事実に基づく|目的(の)|目的格の
crowd	押しよせる|群集
latter	後者|後の方の|近ごろの
pair	一対|1組の男女|同じ札2枚|1組にする|を結婚させる
maybe	たぶん|ひょっとすると
count	重要である|とみなす|計算|伯爵
shop	買い物をする|店
beat	(続けざまに)打つ|負かす|巡回区域
crime	犯罪|罪
mountain	山
drop	落ちる|落とす|滴
relevant	関連した|適切な
relation	関係
benefit	利益|ためになる|恩恵|便宜|給付|給付金
match	に匹敵する|に調和する|試合|競争相手|好敵手|釣り合う人･物
guard	用心する|歩哨|見張り|守る|保護する|を慎む|警戒する|護衛者|番人 (UK英)列車の車掌
admit	(いやなこと)を認める|に入ることを許す
arise	現れる|(問題など)が生じる
sentence	宣告|判決|(の判決を)宣告する|文
wood	木|木材|まき|森|酒だる|ウッド
tradition	正式の財産引渡し|伝統|しきたり|言い伝え|伝説
vision	視力|視覚|見ること|幻|想像力|先見の明|見通し
explore	を探検する|を探求する
extent	程度|範囲
slightly	わずかに|ほっそりと|僅かに
framework	骨組み
build	建てる|つくる
initial	頭文字|初の
bone	骨
army	軍隊|陸軍
tone	に調子をつける|調子|音|口調|色調|傾向|(体の)平常の調子|正常な状態
alternative	代替案|選択肢|二者択一の|代わりの(方法)|新しい
soil	土壌|土|土地|国土|汚す|けがす|汚れ|汚水|肥料
guess	推測する|だと思う|推測|当てずっぽう
worth	値打ちがある|に値する|価値|相当量の|財産
spring	春
daily	毎日の
agency	代理店|機関|媒体|作用
tax	税|課税する|重荷|負担
silence	沈黙|静けさ|黙祷|を沈黙させる|を静める
motion	動き|運動|動作|動議|合図する
religion	信条|宗教|宗旨|宗派|信仰|儀式|宗教学
popular	人気のある
difficulty	困難
justice	正当性|公正|正義|裁判|裁判官|司法|司法官
partner	パートナー|仲間|共同出資者|相棒|と提携する
neither	もまた～ない
station	駅
screen	スクリーン|ふるい|場所を仕切るもの|百葉箱
blow	鼻をかむ|風が吹く|とぶ|息を吹く|打撃|(不意の)精神的打撃|殴り合い|発表する|自慢する|笛が鳴る|(俗)コカイン
internal	本質的な|内の|内部の|体内の|内在的な|国内の
park	公園
print	に印象を与える|を印刷する|を出版する|写真を焼き付ける|影響|印象|印刷物
link	連結する|連接棒|握る|組み合う|たいまつ|輪|きずな|連鎖
mark	記号|目標|印(をつける)|跡(を残す)|値段をつける|特徴づける|マルク(ドイツの通貨単位)
computer	コンピュータ
narrative	物語の|物語|談話
essential	非常に重要な|必須の|絶対必要な|エキスの|不可欠の|本質的要素|要点
progress	前進する|進行|前進|進歩|発展|向上|普及|進む|進歩する
environmental	環境の|周囲の
safety	安全装置|安全|無事
aware	気づいて|に気づいている
assume	と仮定する|を引き受ける|(形態を)とる|のふりをする
chain	鎖
constant	変わらない|定数|不変の|絶え間ない|一定の|不断の
bottom	根拠とする|基づく|水底|船底|根底|下部|下側
define	定義する|定める
establish	を確立する|設立する|(事実など)を確定する|立証する
independent	独立の|他に依存しない|自立の|自治の|自由な
experiment	実験|実験装置|試み|実験する
month	月
circle	旋回する|迂回する|円|軌道|円周|輪|範囲|循環|集団
labor	詳しく論じる|労働(者)|仕事|働く|労務|労働する|骨折る|(乗物などが)骨折って進む
