morphine,モルヒネ
tart,すっぱい
neuropathy,神経障害
alias,別名
analgesic,鎮痛剤
sequel,続編
dialysis,透析
figurative,比喩的な
thickly,厚く
crossover,交差
realising,実現している［realiseの現在分詞］
coroner,検死官
courier,使者
restroom,トイレ
werewolf,人狼
occupancy,占有
colourful,色鮮やかな
deterrent,抑止力
eminence,高名
particularity,特異性
recapture,再捕獲
concave,凹面の
glaze,釉薬
erratic,不規則な
utopia,理想郷
potentiality,可能性
frock,ワンピース
orphanage,孤児院
ministerial,大臣の
prefrontal,前頭前野の
hybridization,交雑
cub,子（動物）
heck,なんてこった
condo,分譲マンション
invincible,無敵の
aloof,よそよそしい
nymph,妖精
storey,階（建物の）
fluctuation,変動
chlorine,塩素
precinct,区域
citrus,柑橘類
possessive,所有の
downright,完全に
arduous,骨の折れる
pictorial,絵のような
blacksmith,鍛冶屋
farmland,農地
eigenvalues,固有値（数学用語）
tidings,知らせ
tyrannical,暴君的な
invalidate,無効にする
irritable,イライラしやすい
unwillingness,嫌気
restorative,回復の
bum,怠け者|お尻
chasm,裂け目
lactate,乳を出す
vigour,活力
bookseller,本屋
estuary,河口
subtlety,微妙さ
ensue,続く
restart,再開する
nitric,硝酸の
veranda,ベランダ
ranger,レンジャー
waistcoat,ベスト
stair,階段
rehearse,リハーサルする
arsenal,兵器庫
tackling,取り組んでいる［tackleの現在分詞］
barber,理髪師
relocate,移転する
unpopular,不人気な
dishonest,不正直な
condense,凝縮する
inhuman,非人間的な
vista,眺望
dualism,二元論
rascal,悪党
ethically,倫理的に
crotch,股間
sectarian,宗派の
immaterial,重要でない
peeling,皮むき|はがれ
marathon,マラソン
implicate,関与させる
unprepared,準備不足の
bot,自動プログラム
diploma,卒業証書
curator,学芸員
sponsorship,スポンサーシップ
specialised,特殊化した［=specialized］〈イギリス英語〉
corporeal,肉体の
geology,地質学
jumble,ごちゃまぜ
uproar,騒動
garde,守備（フランス語由来）
perceptible,知覚できる
shipwreck,難破
smug,うぬぼれた
ascetic,禁欲的な
giver,与える人
mandible,下顎骨
dynamical,力学の
admittedly,認めているが
abbot,修道院長
ay,はい
flyer,ビラ
beset,包囲する
calmness,落ち着き
jurisdictional,裁判管轄の
mod,改造する[modifyの略語]（口語）|改造［=modificationの略語］（口語）
birch,カバノキ
veritable,本当の
rudimentary,基本的な
thankfully,ありがたいことに
percentile,百分位数
thwart,妨げる
hypoxia,低酸素状態
valiant,勇敢な
attentively,注意深く
turret,砲塔
crib,ベビーベッド|カンニング
enroll,登録する
wrongful,不当な
madly,狂って
alia,〜の他（ラテン語由来）
unofficial,非公式の
helix,らせん
husky,がらがら声の
frivolous,軽薄な
landslide,地滑り
unthinkable,考えられない
colorectal,大腸直腸の
nascent,初期の
foreseeable,予見可能な
cloister,修道院|閉じ込める
twine,ひも
grouping,グループ分け
lee,風下
mechanistic,機械論的な
tee,T字型
translucent,半透明の
backlash,反発
shuffle,シャッフルする
passageway,通路
leafy,葉の多い
persistently,しつこく
timeless,永遠の
quod,拘置所（俗語）
stipulation,規定
mysteriously,神秘的に
scepticism,懐疑
stiffen,硬くなる
normalize,正常化する
sceptical,懐疑的な
