kerosene	灯油|paraffin
paranormal	超常能力がある人|超常現象|パラノーマルな|科学的に説明できない|超常的な
greedily	欲深く|どん欲に|がつがつと
blob	斑点|しみ|球状の小さな塊|インクなどのしみ
crux	最重要ポイント|最重要点|難問|なぞ
workmanship	手腕|技量|手ぎわ|できばえ|製作品
ploy	策略|計略|遠征
ruefully	残念そう
pestilence	ペスト|伝染病|悪疫|腺ペスト|害悪|弊害
gala	はなやかな|お祭りの
amide	アミド[基化物]
handsomely	みごとに
sportsman	スポーツマン
chic	上品な|スタイル|上品さ|いき
thrift	倹約|繁茂|幸運|ハマカンザシ
gratify	満足させる|を喜ばせる
caries	カリエス|虫歯
errant	誤った|正道からはずれた|(諸国)遊歴の|冒険的遍歴の
circuitry	回路(構成)
sobriety	しらふ|節酒|禁酒|真面目|冷静|節度
contrivance	くふう|(人工的な)仕掛け|発明されたもの
epileptic	てんかん(性)の|てんかん患者
panther	ヒョウ|獰猛な人
monotone	単調|一本調子の話し方
magnate	大立者|有力者|大実業家
instantaneously	瞬時に
bison	バイソン|アメリカ野牛
derogatory	軽蔑的な|名誉を毀損するような|傷つけるような
verandah	ベランダ|縁側
fa	ファ(長音階第4音)
unobserved	観察されない|気づかれない|守られない
transcribe	転写する|書換える|を書き写す|を複写する|を筆記する
deconstruction	脱構築
fluff	(ラシャなどの)けば|綿毛|ふわふわしたもの
blurt	口を滑らす|うっかり口に出す
planter	栽培者|植民者|大農園主|種蒔き機|プランター
buoyant	弾むような|軽快な|回復力のある|楽天的な
ferret	を捜し出す|フェレット(狩猟用イタチ)|フェレットを使って狩る
undisputed	争う余地のない|明白な|確実な
malevolent	悪意のある
going	進行状態|進行速度|行くこと|出発|死去|道路の状態|コンディション
internalization	内面化
childless	子供のない
poise	安定|平衡|落ち着き|の平衡を保つ|身構える|浮く
zenith	全盛|天頂|頂点|絶頂
interlocutor	対話者|対談者
gourd	ヒョウタン|瓢箪
dune	砂丘|砂の小山
amorous	恋愛の|好色な|なまめかしい
crispy	ちじれた|ぱりぱりの
earthen	土製の|陶製の
probate	遺言検認|遺言を検認する
statewide	州全体の
leech	ヒル|吸血鬼|高利貸し|まとわりつく
kilometer	キロメートル
sultry	焼けつくような|蒸し暑い|官能的な
sensibly	感じられるほどに|目立って|賢明にも
reverend	尊敬すべき|尊い|崇めるべき|牧師|尊師
sweetener	甘味料
alchemist	錬金術師
haemorrhage	出血|大量流出
berserk	狂暴な
wane	衰弱|減少|(月の)欠け|終わりに近づく|衰える|弱まる|(月が)欠ける
classically	古典的に
login	ログイン|ログインする
gymnasium	体育館
contraindicate	〈薬・療法〉‘に'禁忌を指示する
sunburn	を日焼けさせる|日焼けする|(炎症を起こした)日焼け
videotape	ビデオテープ(に録画する)
alertness	警戒心
mayonnaise	マヨネーズ
subservient	卑屈な|役立つ
rump	(動物の)しり|(牛の)腰肉|残りかす|残党
deign	親切に～する
deadlock	(交渉などの)行き詰まり|同点|行き詰まる|デッドロック|手づまり|膠着状態|難局|本締め錠|(deadrockという単語はない|バンド名等はあるが)
storehouse	倉庫|宝庫
brunt	攻撃のほこ先|鋒先
mightily	強く|激しく|非常に|とっても
brig	奇形|奇人|熱狂者|麻薬常用者
jugular	頚部|急所|最大の弱点|咽喉部の|頸静脈の|殺人的な|熾烈な|喉に腹びれのある
knead	こねる|もむ|(練り粉)を練る
mutilation	骨抜き|(手足などの)切断|切除
illogical	非論理的な|不合理な
more	より多くの|もっと多くのこと
angiogenesis	血管形成
neurotic	ノイローゼにかかった|神経(症)の
compaction	圧縮|(生命科学)胚細胞緊密化|(心筋の)圧縮
rescuer	救済者|救助者
gush	ほとばしり出る|噴出|勢いよく流れ出ること
pairwise	対で起きる
rainwater	雨水
collarbone	鎖骨|(clavicle)
teapot	紅茶注ぎ|きゅうす
moose	ムース|アメリカヘラジカ
rodeo	(牧牛の)かり集め|公開競技会
lustre	=luster
vale	(おもに詩)谷|谷間|現世|苦悩の世界|浮き世
coerce	強制する|強制して～させる|強要する|威圧する
malleable	打ち延ばしできる
superficially	表面的には
polysaccharide	多糖類|多糖の
locomotion	移動運動
