tremolo	トレモロ(同一音を細かく震わせた発声または弦楽器で同じ音を繰り返す音|その奏法)|(オルガンの)トレモロを出す装置
durance	(特に長期間の)投獄
shamrock	三つ葉の草(Ireland の国花)
aphoristic	警句のような;警句に富んだ|警句(金言|格言)をしきりに引用したがる
farrow	一腹の豚の子|(子を)生む
kickboxing	キックボクシング
baklava	バクラバ(蜂蜜とクルミをはさんだ中近東諸国のパイの一種)
frum	敬虔(けいけん)な|信心深い
supersession	(〜に)取って代わること|(〜の)代替|代用《+of+名》
moonbeam	月光
maintainer	維持する人
plexiglass	プレキシガラス(プラスチックガラス)
rheumatology	リウマチ学
anaconda	アナコンダ|大ヘビ
dept	department
supererogatory	義務以上の;必要以上の
clomipramine	クロミプラミン|抗うつ薬として用いられる有機化合物の一種
grandiloquent	(話し方・文章が)ぎょうぎょうしい|大げさな
knockoff	模造品
predicable	断言(断定)できる
moronic	愚かな|まぬけの
lyrically	叙情
fumigant	燻蒸(くんじょう)剤(消毒・殺虫剤用の化合物)
vaccinia	牛痘(=cowpox)　痘疹
postdate	〈手紙・事件など〉‘の'日付けを実際よりも遅らせる
froward	つむじ曲がりの|ひねくれた|強情な
mignonette	モクセイソウ(かおりのいい緑色がかった小さい花房をつける庭木)
blowfly	死肉や傷口に産卵するクロバエ
polyploidy	倍数性
weatherman	気象台員
chasten	懲らしめる|鍛える|抑制する
lechery	好色
wheaten	小麦の;小麦[粉]製の
aerofoil	=airfoil
meanderings	遊歩;遊歩道
potlatch	ポトラッチ|インディアン社会に広くみられる威信をかけた贈答慣行
yucky	(俗)すごくまずい|気持ちが悪い|不快な|不潔な
burgess	市長|市民|選出代議士
natty	粋な|小ぎれいな
strudel	シュトルーデル(リンゴなどの果物･チーズを薄い生地に巻いて焼いた菓子|語源ドイツ語)
mastership	〈U〉統制|支配|〈C〉《古》校長の地位(任務)
puce	暗褐色(の)
enchilada	ボス|重要人物|大物|エンチラーダ|肉を詰めたトウモロコシパン(メキシコ料理)
yeasty	酵母の|酵母を含む;酵母のような|泡立つ|元気にあふれた|いきいきした
backbite	〜‘の'陰口を言う|陰口を言う
unmannerly	無作法な|ぶしつけな|無作法に|ぶしつけに
drollery	〈U〉おどけ|こっけいさ|〈C〉おどけた動作|冗談
joss	運|偶像|上役|神像|親方
aniseed	アニス(セリ科の一年草|地中海原産)の種のような果実をアニシードと呼び|香辛料とする
formidably	恐ろしく;手ごわく;非常に
obscurantism	反啓蒙主義|教化(開化)反対|故意にあいまいにすること
optative	願望を表す|〈U〉(文法の)願望法;〈C〉願望法の動詞
mantilla	マンテラ(スペイン・メキシコなどの婦人が頭・肩・背を覆うレースまたは絹のスカーフ)
taffrail	船尾手すり
garnishee	〈金・財産〉‘を'差し押さえる|〈人〉‘に'債権差し押さえ通告をする
stepchild	継子|連れ子|のけ者
extrication	脱出|救出
freethinking	(宗教について)自由思想を持った|(宗教的束縛を受けない)自由思想
hardball	硬球を投げる|強気に出る
noncooperation	協力しないこと;(政府に対する)非協力
pard	仲間|相棒(partner)
qq	questions
bondholder	公債証書(社債券)所有者
abaft	船尾に(へ)|〜より船尾に
concessive	譲歩的な|(文法で)譲歩の
forepaw	(犬や猫など爪のある哺(ほ)乳動物の)前足
unruliness	従順でないこと|がんこ|気まま|無法
popper	入質する人|サッと動く人|ひょっこり来る人|ポップコーンを作る器具|花火|ピストル|砲手
strongbox	金庫|貴重品入れ
trounce	(人を)うんとなぐる|こらしめる|こきおろす|けなす
vandal	芸術･文化をみだりに破壊する|文化･芸術の破壊者|野蛮人
wop	《禁句》(外人としての)イタリア人|イタリア系外人
traipse	だらだら歩く
bifocals	二つに折りたためる|遠近両用メガネ
falconry	タカ狩り(hawking);(タカ狩り用の)タカ訓練法
anneal	(鋼･ガラスなどを)焼き戻す|なます|(精神を)鍛える
lenity	慈悲|寛容
megabyte	メガバイト
embitter	〈人〉‘に'つらい思いをさせる|‘を'悲しませる
photojournalism	グラフ雑誌[編集];報道写真関係の仕事
baulk	=balk
greaseproof	(紙が)防油脂性の
horsewoman	女騎手|婦人乗馬者
wardship	後見(保護)を受けている状態
desiccant	(薬品など)乾燥力のある|乾燥剤
whereto	《疑問副詞》どこへ;何のために|《関係副詞》[〜へ]〜するところの(to which)
dietetics	栄養学
floury	粉だらけの|粉のついた|粉っぽい|粉状の
outfall	(用水池などの)排水口|はけ口;河口
bestiary	(ヨーロッパ中世の)動物説話集[の本]
cockiness	生意気|うぬぼれ|気どり
gavage	強制飼養(病人・鳥にゴム管などを用いて食物を与えること)
macadam	〈C〉(またmacadam road)(砕石を敷いた)マカダム道路|〈U〉その砕石
camellia	ツバキ|椿(つばき)
bazooka	バズーカ(砲)
comber	(綿・羊毛などを)すく人|すき手;すき機|寄せてくる波
billing	伝票発行
ferryboat	連絡船
