fellow,仲間
external,外部の
sequence,連続
telling,話すこと
island,島
recognize,認識する［=recognise］〈アメリカ英語〉
interpretation,解釈
treat,扱う
relatively,比較的
fail,失敗する
notion,概念
evil,悪
solve,解決する
quick,速い
fresh,新鮮な
credit,信用
vote,投票する
sweet,甘い
university,大学
enhance,高める
writer,作家
dare,あえて〜する
bond,絆
card,カード
ball,ボール
birth,誕生
wine,ワイン
suit,似合う
topic,話題
camp,キャンプ
branch,枝
prior,前の
despite,にもかかわらず
cloud,雲
weak,弱い
bright,明るい
decide,決める
scientific,科学的な
square,四角
conclusion,結論
core,核心
pull,引く
engage,従事する
agree,同意する
nice,良い
coffee,コーヒー
evaluation,評価
yield,産出する
smoke,煙
host,主催する
forth,前方に
journey,旅
urban,都市の
plate,皿
comparison,比較
encounter,遭遇する
manager,管理者
merely,単に
god,神
judgment,判断
truly,本当に
familiar,よく知っている
danger,危険
input,入力
till,〜まで
proper,適切な
vehicle,乗り物
mention,言及する
entirely,完全に
gene,遺伝子
creation,創造
wild,野生の
output,出力
contribution,貢献
college,短大
cast,投げる
carefully,注意深く
ratio,比率
spiritual,精神的な
expert,専門家
aid,助ける
opposite,反対の
chemical,化学の
mission,使命
assess,評価する
crisis,危機
unless,〜でなければ
algorithm,アルゴリズム
evaluate,評価する
tongue,舌
refer,言及する
curve,曲線
debate,討論
trace,跡
thin,細い
cheek,頬
origin,起源
copy,コピーする
trip,旅行
border,境界
ahead,前方に
victim,被害者
season,季節
realize,気づく
stream,小川
examine,調べる
possess,所有する
reform,改革する
explanation,説明
background,背景
youth,若さ
emotional,感情的な
domestic,国内の
chief,主要な
band,バンド
recall,思い出す
thick,厚い
leadership,指導力
channel,チャンネル
overall,全体の
heaven,天国
estimate,見積もる
domain,領域
element,要素
proceed,進む
demonstrate,示す
association,協会
handle,扱う
ice,氷
shadow,影
profit,利益
beauty,美しさ
unique,独特の
rank,順位
leader,リーダー
appeal,訴える
north,北
civil,市民の
prepare,準備する
recently,最近
reduction,削減
anti,反〜
fruit,果物
servant,召使い
programme,プログラム
occasion,機会
ourselves,私たち自身
centre,中心
roll,転がる
noise,騒音
infection,感染
calm,落ち着いた
frequently,頻繁に
usual,通常の
rely,頼る
sufficient,十分な
election,選挙
anger,怒り
murder,殺人
practical,実用的な
phenomenon,現象
investigation,調査
digital,デジタルの
hole,穴
survive,生き残る
measurement,測定
hall,ホール
smell,匂い
breast,胸
plane,飛行機
gate,門
campaign,キャンペーン
transport,輸送
academic,学問の
obvious,明らかな
depth,深さ
unable,できない
decline,減少する
consumer,消費者
coat,コート
solid,固体の
pocket,ポケット
intention,意
en,〜させる（接頭辞）|〜にする（接頭辞）
brown,茶色の
eventually,最終的に
regular,規則的な
assumption,仮定
loud,うるさい
document,文書
slave,奴隷
ideal,理想的な
remove,取り除く
cool,涼しい
stuff,物
hell,地獄
afternoon,午後
constitute,構成する
artist,芸術家
throat,喉
