uncharacterized,特徴のない
wherefrom,どこから
immunocytochemical,免疫細胞化学の
presbyterian,長老派の
catalpa,キササゲ属
pictograph,絵文字
bowlder,大きな丸石
seclude,隔離する
beatnik,ビート世代の人
contumacious,反抗的な
dotard,老人（呆けた）
ensouled,魂を持つ
heparinized,ヘパリン処理された
presumable,推定できる
messmate,食堂仲間
passbook,通帳
perjure,偽証する
loanword,外来語
cattail,ガマ
immunoblotting,免疫ブロット法
deathblow,致命打
hellion,やんちゃな子
immunocytochemistry,免疫細胞化学法
julep,ジュレップ（飲料）
teetotal,禁酒主義の
altruist,利他主義者
everytime,いつも
flab,脂肪
radioman,無線士
corselet,胸当て
necrophilia,死体愛好（性的嗜好）
transitively,他動的に
withholding,差し控え
boomtown,ブーム町
doorstop,ドアストッパー
nullah,水路
expertness,熟練
gluey,粘着性の
refractor,屈折器
officeholder,公職者
hijacker,ハイジャッカー
bouillabaisse,ブイヤベース（料理）
enjambment,行越し（詩）
amorality,道徳心欠如
tetanic,破傷風の
cox,舵手
declarer,宣言者
imputable,帰属できる
straightjacket,拘束衣
urodynamic,尿流動力学の
muddleheaded,混乱した
savageness,野蛮さ
ringlet,リング状のもの
fantail,扇形尾羽
portraitist,肖像画家
bottler,瓶詰め業者
ownerless,無主の
downswing,下降
scrofulous,結核性の
undercoat,下塗り
fanfic,ファンフィクション
footpad,強盗
homiletics,説教学
birdbath,鳥の水盤
rotundity,丸々としたこと
straitlaced,堅苦しい
firebomb,焼夷弾
popover,ポップオーバー（パン）
wassail,祝宴（飲み物）
adulterate,混ぜ物をする
foxtrot,フォックストロット（舞曲）
groundhog,グラウンドホッグ
sapper,工兵
anklet,アンクレット
spay,去勢手術
poinsettia,ポインセチア
overspill,あふれ
squeegee,スクイージー
vicegerent,代理人
wallboard,壁板
dishrag,台ふきん
haricot,ハリコ豆
dogmatist,独断主義者
detractor,中傷者
uncoil,巻を解く
bursary,奨学金
moll,女性仲間（俗語）
ligate,結紮する
profiteer,利得者
hewer,伐採者
pointblank,至近距離で
variegation,斑入り
poltroon,臆病者
semiprecious,半貴
grabber,つかむもの
paramedical,準医療の
pizzicato,ピチカート（演奏法）
striver,努力家
counterfeiter,偽造者
astrobiology,宇宙生物学
organza,オーガンザ（布）
myrmidon,部下（忠実な）
bedizen,着飾る
bootblack,靴磨き
dexter,右の
euphony,美音
incommode,迷惑をかける
penology,刑事学
carillon,カリヨン（鐘）
carryall,万能バッグ
deadliness,致命性
dotty,少し気が変
molly,女性（俗語）
karat,カラット
courtliness,礼儀正しさ
gazpacho,ガスパチョ（冷製スープ）
luff,風上へ進む
pterosaur,翼竜
transmogrify,変身させる
titillate,くすぐる
cowpuncher,カウボーイ
paramountcy,最高権力
shuffleboard,シャッフルボード
neurotrophin,神経栄養因子
ummm,うーん（感嘆詞）
culpably,非難すべき
easterner,東部出身者
thermosphere,熱圏
warthog,イボイノシシ
toiler,働き者
chimneypiece,暖炉の上の飾り
deuteron,重水素核
electrodynamic,電磁力学の
godchild,名付け子
insole,靴の中敷き
arnica,アルニカ（薬草）
adenoviral,アデノウイルスの
pilothouse,操舵室
menstruate,月経する
cultist,カルト信者
whew,ふう（感嘆詞）
autobiographer,自伝作家
chickweed,ハコベ
orthopedist,整形外科医
proclaimer,宣言者
scintilla,わずか
sightsee,観光する
blackball,排斥する
scrollwork,巻き飾り
windage,風の影響
fishtail,魚尾形
baldric,剣帯
dandify,おしゃれにする
reposeful,安らかな
marquetry,寄木細工
radiogenic,放射性由来の
brouhaha,騒ぎ
godhood,神性
mesosphere,中間圏
mansard,マンサード屋根
discography,ディスコグラフィー
appal,ぞっとさせる
chromo,染色体の略
saguaro,サボテンの一種
underdone,加熱不足の
traduce,中傷する
wiener,ウィンナー
backstroke,背泳ぎ
cliche,決まり文句
dinnerware,食器類
hatpin,帽子ピン
underthings,下着
dishearten,落胆させる
farrago,寄せ集め
indestructibility,不滅
presbyopia,老眼
cauterize,焼灼する
bambino,赤ん坊
litchi,ライチ
mewl,鳴く
backwoodsman,奥地の開拓者
funfair,移動遊園地
merchantable,売買可能な
scummy,泡だらけの
troopship,輸送船
buss,キス
altruistically,利他的に
fingerboard,指板
harrumph,咳払いする
uhh,えー（間投詞）
bloodsucker,吸血動物
maraca,マラカス（楽器）
monomaniac,偏執狂
stayer,長く続く者
nasturtium,キンレンカ
mickey,マリファナ入り飲料
rheostat,可変抵抗器
solipsist,唯我論者
pannikin,小カップ
rearmost,一番後ろの
reviser,改訂者
bourse,証券取引所
emptily,空虚に
novelette,短編小説
illusionism,錯覚術
pastern,蹄根
tailcoat,燕尾服
lade,注ぐ
coloratura,華麗な歌唱
antipodean,正反対の
effendi,紳士（敬称）
northeastward,北東方向へ
personate,なりすます
halftone,階調
pullet,若鶏
acclivity,上り坂
drier,乾燥機
formfitting,体にぴったりの
jeremiad,長々とした嘆き
myofibroblast,筋線維芽細胞
spacewalk,宇宙遊泳
besmirch,汚す
casuistic,論理にこだわる
flunkey,下僕
tetrameter,四歩格
allopatric,異所的
bongo,ボンゴ（太鼓）
jacaranda,ジャカランダ（木）
intermix,混ぜる
anteater,アリクイ
arrack,アラック（酒の一種）
oryx,オリックス（動物）
thistledown,アザミの綿毛
beastie,小動物
dino,恐竜［dinosaurの略語］
styrofoam,発泡スチロール
trinomial,三項式
huffily,むっとして
nacre,真珠層
ouzo,ウーゾ（酒）
sphygmomanometer,血圧計
calve,出産する（牛など）
guidepost,道標
reredos,祭壇背後の装飾
involucre,総苞
legionnaire,軍団兵
quadripartite,四分の
irenic,平和的な
aerobe,好気性生物
prat,ばか者
corky,コルクのような
plectrum,ピック（弦楽器）
borscht,ボルシチ（スープ）
cosiness,居心地の良さ
dextrous,器用な
mustachio,口ひげ
semiprivate,半私的な
spinsterhood,未婚女性の身分
bouffant,膨らんだ髪型
elfish,妖精のような
metatarsus,中足骨
openhearted,心の広い
poisoner,毒を盛る人
umbel,傘状花序
animatronic,アニマトロニクス（ロボット）
scuttlebutt,うわさ
avirulent,無毒の
gusher,噴出油井
condemnable,非難すべき
workingwoman,働く女性
plagiarize,盗用する
debouch,出る
immunofluorescent,免疫蛍光の
quoit,輪投げ
ideogram,表意文字
catchup,ケチャップ
hornpipe,ホーンパイプ（舞曲）
idiolect,個人の言語
pensionable,年金の対象となる
auriferous,金を含む
henbane,ヒナハギ（植物）
lifework,生涯の仕事
runaround,言い訳
foldout,折りたたみ式ページ
sadistically,加虐的に
pupate,蛹になる
lyceum,講堂
gawp,口をあんぐり開ける
ampule,小瓶
doofus,間抜け
petard,爆薬入りの小型容器
resister,抵抗者
asphodel,アスフォデル（植物）
doggone,ちくしょう
trivium,三学科（初等学）
quintuple,五倍の
caitiff,卑劣な人
comedown,落ち目
histochemistry,組織化学
ytterbium,イッテルビウム（元素）
conceptus,受胎物
flytrap,ハエトリグサ
bleeder,出血者
commonweal,公共の福祉
conterminous,境界を共有する
homodimer,ホモ二量体
fundraise,資金調達する
agitprop,政治宣伝
bunting,旗布
taw,トランプの玉
landslip,地すべり
mispronunciation,誤発音
palmate,手のひら状の
rutabaga,スウェーデンカブ
truculence,凶暴さ
klaxon,警報ベル
mistranslate,誤訳する
lacerate,裂く
dissuasion,思いとどまらせること
monochorionic,単絨毛膜の
minestrone,ミネストローネ（スープ）
rube,田舎者
bumptious,でしゃばりな
corrugation,波状加工
capitulum,頭状花序
scabrous,ざらざらした
turbojet,ターボジェット
alterable,変更可能な
entreatingly,懇願して
burble,ぶくぶく音を立てる
curbstone,縁石
eeriness,不気味さ
euphonious,耳に心地よい
coexpression,共発現
loudmouth,おしゃべりな人
tousle,髪を乱す
confab,おしゃべり
hassock,足置きクッション
hogan,ホーガン（住居）
anaerobe,嫌気性生物
hickey,キスマーク
pedigreed,血統のある
surmountable,克服可能な
longshoreman,荷役労働者
babbler,おしゃべりな人
calaboose,刑務所
mach,マッハ数
miserliness,けちさ
bellyful,たっぷり
enucleated,核を除去された
fauces,口蓋垂部
maidenhair,マイデンヘア（シダ）
runnel,小川
