chump,間抜け
oversupply,過剰供給
bounteous,豊富な
dromedary,ヒトコブラクダ
bleomycin,ブレオマイシン（抗がん剤）
spidery,蜘蛛のような
pedicure,ペディキュア
asparagine,アスパラギン（アミノ酸）
firehouse,消防署
newlywed,新婚者
hydroponic,水耕栽培の
camcorder,ビデオカメラ
bionic,バイオニック（生体工学の）
dryad,木の精
taproom,酒場
affiance,婚約させる
brassy,厚かましい|真ちゅう製の
mainspring,主要動力源
joist,梁
benignant,慈悲深い
humph,ふん（感嘆詞）
hawkish,強硬な
starling,ムクドリ
teepee,ティピー（先住民のテント）
bogey,お化け|妨害者
chaplet,小冠|花冠
behead,首を切る
unnerve,勇気をくじく
indivisibility,不可分性
hick,田舎者
babyhood,幼児期
blameworthiness,非難されるべきこと
inadvisable,勧められない
spicule,微針
bate,抑える|弱める
sunspot,黒点
litigious,訴訟好きな
gainer,利益者
yap,やかましく吠える
breakeven,損益分岐点
erg,エルグ（仕事量の単位）
banknote,紙幣
pratique,入港許可
residuary,残余の
velar,軟口蓋の
measureless,計り知れない
meatball,ミートボール
helicase,ヘリカーゼ（酵素）
ignoramus,無知な人
borax,ホウ砂
audiology,聴覚学
byline,署名欄
panache,気取り
intrepidity,大胆さ
lucidly,明晰に
seahorse,タツノオトシゴ
unclothe,服を脱がせる
haft,柄|把手
knobby,こぶのある
preseason,プレシーズン
bethink,考える
bookworm,本の虫
lexicography,辞書編纂学
midtown,市街中心部
tucker,食事（俗語）〈オーストラリア英語〉
lysosome,リソソーム
merman,人魚男
decapitate,首を切る
dyspnoea,呼吸困難
lampshade,ランプシェード
myocyte,筋細胞
prepackage,あらかじめ包装する
purloin,盗む
schnapps,シュナップス（蒸留酒）
arrowroot,くず粉
venial,許されるべき
intermarry,異民族間結婚する
intermingle,混ざり合う
revivalism,宗教復興運動
tapir,バク
quartzite,砂岩質岩
siliceous,ケイ酸塩の
constipate,便秘にする
prostatitis,前立腺炎
sisal,サイザル麻
vacuity,空虚
undulation,波動
decriminalization,非犯罪化
phasic,相のある
chorale,合唱団
extraterritoriality,治外法権
decongestant,充血除去薬
distaff,女性側の
coot,クイナ
canthus,目尻
tangibly,明白に
tinfoil,アルミホイル
breve,短音符
newsagent,新聞販売店
woodpile,薪の山
situs,位置
fanny,お尻（俗語）
hellhole,地獄のような場所
pinnace,小型船
forelock,前髪
humongous,非常に大きい
murderess,女性の殺人者
undulate,波打つ
discreditable,信用できない
ibis,トキ
beggary,物乞い
endoderm,内胚葉
carbolic,フェノールの
ruck,乱闘
stepparent,継親
arsenate,ヒ素酸塩
jerkily,ぎくしゃくして
wainscot,腰板張り
seraph,熾天使
letterbox,郵便受け
opener,開ける道具
overcompensate,過剰補償する
nonproductive,非生産的な
unseasonable,季節外れの
satiny,サテンのような
cookout,屋外料理会
trailblazer,先駆者
uracil,ウラシル
marmot,マーモット（大型リス）
thenceforward,それ以降
rattler,ガラガラ蛇
schoolmate,同級生
synergism,相乗作用
grownup,大人
yowl,鳴き声
varmint,害獣
tetrad,四つ組
tuba,チューバ
unedited,未編集の
handlebar,ハンドルバー
propulsive,推進力のある
scriptwriter,脚本家
outbid,競り負かす
loafer,なまけ者
heartiness,元気さ
wetsuit,ウェットスーツ
braze,ろう付けする
acropolis,アクロポリス（古代都市の高台）
expressionist,表現主義者
syne,以前
splotch,染み
deliriously,錯乱状態で
unseasonably,季節外れに
witchery,魔法
herbarium,植物標本
seaborne,海上輸送の
croon,優しく歌う
ethology,動物行動学
midweek,週の中頃
musketeer,銃士隊員
vouchsafe,許す|与える
armorial,紋章の
longbow,ロングボウ（長弓）
affaire,事件|情事
bogie,バギー|幽霊
nimbus,光輪|にわか雨雲
objectivism,客観主義
tureen,スープ入れ
pugilist,拳闘士
tromp,踏みつける
candidature,立候補
prig,生意気な人
hanker,切望する
neuroleptic,神経遮断薬
workingman,労働者
literalism,文字通りの解釈
thiazide,チアジド（利尿薬）
keratinocyte,ケラチノサイト（皮膚細胞）
vaporous,蒸気状の
liquorice,リコリス（甘草）
headpiece,頭飾り
liveried,制服を着た
metalworking,金属加工
overdraw,引き出し過ぎる
sexless,性別のない
tipple,酒を飲む
ammeter,電流計
bangle,腕輪
vole,モグラネズミ
longboat,ロングボート（長い小舟）
suffuse,満たす|充満させる
prejudge,早合点する
woodcock,ヤマシギ
buttercup,キンポウゲ
howsoever,どんなに〜でも
leprous,ハンセン病の
unchristian,非キリスト教的な
chiaroscuro,明暗法
futurism,未来派
prevaricate,言い逃れをする
foist,押しつける
arty,芸術家ぶった
skylark,ヒバリ
gazer,じっと見る人
shortlist,候補者名簿
photocopier,コピー機
amusingly,面白く
coastguard,沿岸警備隊
hemochromatosis,ヘモクロマトーシス（鉄過剰症）
shabbily,みすぼらしく
trilateral,三者の
undersecretary,次官
assize,巡回裁判
gaffe,失言
tenon,ほぞ（木工部品）
slinky,しなやかな
sorbet,シャーベット
fibril,細線維
ideologue,イデオローグ
haemodynamic,血液力学の
croft,小農場
